Microorganism,Code,Library,Type,Value,Selected
Paramyxoviridae,128354001,SNOMED,virus,147,1
Parvoviridae,243587006,SNOMED,virus,148,1
Penicillium,42993004,SNOMED,fungi,149,1
Pichia kudriavzeveii,16452009,SNOMED,fungi,150,1
Picornaviridae,407344006,SNOMED,virus,151,1
Plasmodium,34706006,SNOMED,"parasite, protozoa",152,1
Plasmodium falciparum,30020004,SNOMED,"parasite, protozoa",153,1
Plasmodium malariae,56395006,SNOMED,"parasite, protozoa",154,1
Plasmodium ovale,18508006,SNOMED,"parasite, protozoa",155,1
Plasmodium vivax,74746009,SNOMED,"parasite, protozoa",156,1
Pneumocystis,115987006,SNOMED,fungi,157,1
Pneumocystis jirovecii,79909001,SNOMED,fungi,158,1
Prion diseases,20484008,SNOMED,Prions,159,1
Rabies virus,59881000,SNOMED,virus,160,1
Respiratory Syncytial Virus (RSV),6415009,SNOMED,virus,161,1
Retroviridae,77622001,SNOMED,virus,162,1
Rhabdoviridae,407326003,SNOMED,virus,163,1
Rhizomucor,85711000,SNOMED,fungi,164,1
Rhizopus,17683005,SNOMED,fungi,165,1
Rift Valley fever virus,28335002,SNOMED,virus,166,1
Ross River virus,32458000,SNOMED,virus,167,1
Rotavirus,417542000,SNOMED,virus,168,1
Rubella virus,5210005,SNOMED,virus,169,1
SARS-CoV-2,840533007,SNOMED,virus,170,1
SARS-CoV-2  Beta - B.1.351,,,virus,171,1
SARS-CoV-2  Delta - B.1.617.2,,,virus,172,1
SARS-CoV-2  Eta - B.1.525,,,virus,173,1
SARS-CoV-2  Gamma - P.1,,,virus,174,1
SARS-CoV-2  Iota - B.1.526,,,virus,175,1
SARS-CoV-2  Kappa - B.1.617.1,,,virus,176,1
SARS-CoV-2  Omicron ,,,virus,177,1
SARS-CoV-2  Omicron - B.1.1.529,,,virus,178,1
SARS-CoV-2  Omicron - B.1.1.529.2 BA.2,,,virus,179,1
SARS-CoV-2  Omicron - B.1.1.529.5 BA.5,,,virus,180,1
SARS-CoV-2  Theta- P.3,,,virus,181,1
SARS-CoV-2  Zeta - P.2,,,virus,182,1
SARS-CoV-2 Alpha - B.1.1.7,,,virus,183,1
SARS-CoV-2 Antigen,840536004,SNOMED,virus (substance),184,1
SARS-CoV-2 IgG Antibody,63000000000000,SNOMED,virus (substance),185,1
SARS-CoV-2 IgG/IgM Antibody,840535000,SNOMED,virus (substance),186,1
SARS-CoV-2 IgM Antibody,50600000000000,SNOMED,virus (substance),187,1
Saccharomyces cerevisiae,765320007,SNOMED,fungi,188,1
Sapovirus,407362002,SNOMED,virus,189,1
Scedosporium,31901009,SNOMED,fungi,190,1
Schistosoma,53583001,SNOMED,"parasite, helminth",191,1
Schistosoma guineensis,,,"parasite, helminth",192,1
Schistosoma haematobium,3294004,SNOMED,"parasite, helminth",193,1
Schistosoma intercalatum,15685002,SNOMED,"parasite, helminth",194,1
Schistosoma japonicum,5249008,SNOMED,"parasite, helminth",195,1
Schistosoma mansoni,11168007,SNOMED,"parasite, helminth",196,1
Schistosoma mekongi,75475007,SNOMED,"parasite, helminth",197,1
Severe Acute Respiratory Syndrome Coronavirus 2,1240000000000000,SNOMED,virus,198,1
Severe Acute Respiratory Syndrome-Related Coronavirus,415360003,SNOMED,virus,199,1
Severe fever with thrombocytopaenia syndrome (SFTS) ,722401001,SNOMED,virus,200,1
Simplexvirus (Genus),314797000,SNOMED,virus,201,1
Sporothrix schenckii,32662000,SNOMED,fungi,202,1
Strongyloides stercoralis,42625000,SNOMED,"parasite, helminth",203,1
Taenia saginata,61085008,SNOMED,"parasite, helminth",204,1
Taenia solium,17966003,SNOMED,"parasite, helminth",205,1
Talaromyces marneffei,71825007,SNOMED,fungi,206,1
Togoviridae,129231002,SNOMED,virus,207,1
Toxocara canis,88857009,SNOMED,"parasite, helminth",208,1
Toxoplasma,61949005,SNOMED,"parasite, protozoa",209,1
Toxoplasma gondii,4649006,SNOMED,"parasite, protozoa",210,1
Trichinella spiralis,16439004,SNOMED,"parasite, helminth",211,1
Trichomonas,3764006,SNOMED,"parasite, protozoa",212,1
Trichomonas vaginalis,22417000,SNOMED,"parasite, protozoa",213,1
Trichophyton,88578003,SNOMED,fungi,214,1
Trichosporon asahii,243475001,SNOMED,fungi,215,1
Trichuris trichiura,5378007,SNOMED,"parasite, helminth",216,1
Trypanosoma,40740003,SNOMED,"parasite, protozoa",217,1
Trypanosoma brucei gambiense,20027006,SNOMED,"parasite, protozoa",218,1
Trypanosoma brucei rhodesiense,79513002,SNOMED,"parasite, protozoa",219,1
Trypanosoma cruzi,88274000,SNOMED,"parasite, protozoa",220,1
West Nile virus,57311007,SNOMED,virus,221,1
Wuchereria bancrofti,84925004,SNOMED,"parasite, helminth",222,1
Yeast,62093005,SNOMED,fungi,223,1
Zika virus,50471002,SNOMED,virus,224,1
