Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Comment,Value
"Levofloxacin (Levaquin, Levxin, Tavanic)      ",J01MA12,ATC,1,1.0,,,,1.0,1.0,,,,74
"Lincomycin (Linobac, Lincomed)",J01FF02,ATC,2,,,,,,,,,,75
Linezolid (Zyvox),J01XX08,ATC,1,1.0,,,,,,,,,76
Lomefloxacin,J01MA07,ATC,2,,,,,,,,,,77
"Meropenem (Merrem, Meronem)                   ",J01DH02 ,ATC,1,1.0,,,,,,,,,78
"Methenamine hippurate (Hiprex, Urex)",J01XX05  ,ATC,2,,,,,,,,,,79
"Methicillin (Meticillin, Staphcillin)",J01CF03,ATC,2,,,,,,,,,,80
"Metronidazole (Flagyl, Likmez)  ",J01XD01,ATC,1,,,,,,,,,,81
"Mezlocillin (Baypen, Melocin, Bezlin, Optocillin)                     ",J01CA10,ATC,2,,,,,,,,,,82
"Minocycline (Minocin, Ximino)",J01AA08,ATC,2,,,,,,,,,,83
"Moxifloxacin (Avelox, Vigamox)                ",J01MA14,ATC,1,,,,,,,,,,84
Nafcillin,J01CF06,ATC,2,,,,,,,,,,85
"Nalidixic Acid (NegGram, Wintomylon)",J01MB02,ATC,2,,,,,,,,,,86
Neomycin (Neovet),J01GB05,ATC,2,,,,,,,,,,87
Netilmicin (Netromycin),J01GB07,ATC, ,,,,,,,,,,89
"Nitrofural (Aldomycin, Furacin, NFZ)",D08AF01,ATC,2,,,,,,,,,,90
"Nitrofurantoin (Macrobid, Macrodantin)             ",J01XE01  ,ATC,1,,,,,,,,,,91
"Norfloxacin (Trizolin, Noroxin)",J01MA06,ATC,2,,,,,,,,,,92
Novobiocin (Albadry),90220005,SNOMED,2,,,,,,,,,,93
"Ofloxacin (Floxin, Ocuflox)",J01MA01,ATC,2,,,,,,,,,,94
Oxacillin (Bactocill),J01CF04,ATC,2,,,,,,,,,,95
"Oxytetracycline (Agrimycin, Noromycin)",J01AA06,ATC,2,,,,,,,,,,96
Piperacillin,J01CA12,ATC,,,,,,,,,,,97
"Piperacillin/Beta-lactamase inhibitor (Piperacillin/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,  ",J01CR05 ,ATC,1,1.0,,,,,,,,,98
Pivmecillinam (Selexid)                            ,J01CA08 ,ATC,1,,,,,,,,,,100
Plazomicin (Zemdri),J01GB14,ATC,,,,,,,,,,,101
"Polymyxin B (Poly-Rx, Polysporin)             ",J01XB02,ATC, ,,,,,,,,,,102
"Procaine benzylpenicillin (Penicillin G, Bactracillin G, Norocillin)",J01CE09,ATC,,,,,,,,,,,103
Pyrazinamide,J04AK01,ATC,,,,,,,,,,,104
Quinupristin/Dalfopristin (Synercid),J01FG02  ,ATC,2,,,,,,,,,,105
Retapamulin (Altabax),D06AX13,ATC,2,,,,,,,,,,106
"Rifampicin (Rifadin, Rimactane)                    ",J04AB02  ,ATC,1,,,,,,,,,,107
Rifapentine (Priftin),J04AB05,ATC,2,,,,,,,,,,108
Rifaximin (Xifaxan)                                ,A07AA11,ATC,1,,,,,,,,,,109
"Roxithromycin (Biaxsig, Rulide)",J01FA06,ATC,,,,,,,,,,,110
Sparfloxacin (Spacin),J01MA09  ,ATC,2,,,,,,,,,,111
Spectinomycin (SpectoGard),J01XX04,ATC,2,,,,,,,,,,112
Streptomycin,J01GA01,ATC,2,,,,,,,,,,113
Sulfadiazine,J01EC02,ATC,2,,,,,,,,,,114
Sulfamethoxazole (Gantanol)      ,J01EC01,ATC,1,,,,,,,,,,115
"Sulfamethoxazole/Trimethoprim (Bactrim, Co-trimoxazole, Septra)",J01EE01  ,ATC,1,1.0,,,,,,,,,116
"Sulfisoxazole (Sulfafurazole, Truxazole)",J01EB05,ATC,2,,,,,,,,,,117
Teicoplanin (Targocid)                        ,J01XA02,ATC, ,1.0,,,,,,,,,118
"Telavancin (Televancin, Vibativ)",J01XA03,ATC,2,,,,,,,,,,119
Telithromycin (Levviax),J01FA15,ATC,2,,,,,,,,,,120
"Tetracycline (Viabecline, Vitastem)",J01AA07,ATC,2,,,,,,,,,,121
Ticarcillin,J01CA13,ATC,2,,,,,,,,,,122
Ticarcillin/Beta-lactamase inhibitor (Ticacillin/Clavulanate),J01CR03  ,ATC,2,,,,,,,,,,123
Tigecycline (Tygacil),J01AA12 ,ATC,1,,,,,,,,,,124
"Tobramycin (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1,,,,,,,,,,125
Trimethoprim (Primsol),J01EA01,ATC,1,,,,,,,,,,126
Trovafloxacin (Trovan),J01MA13 ,ATC, ,,,,,,,,,,127
"Vancomycin (Vancocin, Vancocin HCl, Firvanq)",J01XA01,ATC,1,1.0,,,,,1.0,,,,128
Voriconazole (Vfend),J02AC03 ,ATC, ,,,,,,,,,,129
Xibornol,J01XX02,ATC,,,,,,,,,,,130
