Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Mpox
presentation,ONSET & PRESENTATION,pres_adm_reas,text,Reason for hospitalisation,,,,,,[pres_adm] = '1',,This refers to the reason (indication) for hospitalisation.,"If 'Yes', specify the reason (indication) for hospitalisation.",,,,,,1,
presentation,ONSET & PRESENTATION,pres_adm_time,text,Time of hospital admission,,time,,,,[pres_adm] = '1',,This refers to admission of the patient to your site for the current illness.,Enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,,,,,,,
presentation,ONSET & PRESENTATION,pres_enrolmentdate,date_dmy,Date of enrolment / start of data collection,,date_dmy,,today,,,,This refers to the date of enrolment / start of data collection.,Enter date of patient study enrolment in the format of day/month/year (DD/MM/YYYY).,,,,,,1,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev,radio,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",,,,,,,This refers to previous admission to a health facility or transfer from another health facility during the current episode of illness.,Select the most appropriate option that represents whether or not the patient admitted previously or transferred from any other facility during this illness episode.,,,,,,1,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_site,text,Name of transfer facility,,,,,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,This refers to the name of the facility from which the patient was previously admitted or transferred.,Enter the name of the facility from which the patient was previously admitted or transferred.,,,,,,,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_date,date_dmy,Date of presentation at previous facility,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,This refers to the date of presentation to the facility at which the patient was previously admitted or transferred.,Enter the date of presentation to the facility at which the patient was previously admitted or transferred.,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_num,number,Total number of previous admissions for this infection,,number,1,,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,This refers to the number of times (for this infection) the patient has been admitted to a health facility.,Indicate the number of times (for this infection) the patient has been admitted to a health facility.,,,,,,1,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadmdate,date_dmy,Date of earliest admission for this infection,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,"This refers to the date of the first admission for this illness. If the patient was first 'admitted to other facility, then transferred to this facility' record the date the patient was admitted to the other health facility.",Write the date in DD/MM/YYYY format.,,,,,,,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,radio,Has the patient's data been previously collected under a different participant identification number (PIN)? ,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to previous collection of the patient's data under a different Participant Identification Number (PIN),Indicate 'Yes' if the patient's data has been previously collected under a different participant identification number (PIN),,,,,,1,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,text,Previous Participant Identification Number (PIN),,,,,,[readm_difpin] = '1',,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,,,,,1,1
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_reas,radio,Is the patient being re-admitted with or due to infection with pathogen of interest?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to re-admission of the patient with or due to infection with pathogen of interest.,Indicate 'Yes' if the patient is being re-admitted with or due to infection with pathogen of interest.,,,,,,1,
presentation,DEMOGRAPHICS,demog_sex,radio,Sex at birth,"1, Male | 2, Female | 99, Not specified/Unknown | 88, Other",,,,,,,This refers to the physical sexual characteristics at birth.,Select the most appropriate option that represents the physical sexual characteristics at birth.,SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1,1
presentation,DEMOGRAPHICS,demog_sex_oth,text,Specify other sex at birth,,,,,,[demog_sex]='88',,This refers to the physical sexual characteristics at birth.,"If 'Other', specify the physical sexual characteristics at birth.",SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1,1
presentation,DEMOGRAPHICS,demog_gender,radio,Gender,"1, Man | 2, Woman | 3, Non-binary | 99, Unknown | 88, Other",,,,,,,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",Select the most appropriate option that represents the patient's gender identity.,SNOMED,"263495000, Gender (observable entity)","C79399, Gender",,,1,1
presentation,DEMOGRAPHICS,demog_gender_oth,text,Specify other gender,,,,,,[demog_gender]='88',,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",If 'Other' specify patient's gender identity.,SNOMED,"263495000, Gender (observable entity)","C79399, Gender",,,1,1
presentation,DEMOGRAPHICS,demog_birthknow,radio,Is the date of birth known?,"1, Yes | 0, No",,,,,,,This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.,SNOMED,"184099003, Date of birth (observable entity)","C421451, Patient date of birth",,,1,1
presentation,DEMOGRAPHICS,demog_birthdate,date_dmy,Date of birth,,date_dmy,,today,,[demog_birthknow]='1',,This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.,SNOMED,"184099003, Date of birth (observable entity)","C421451, Patient date of birth",1,risk_factor_demo,1,1
presentation,DEMOGRAPHICS,demog_calcage,calc,Calculated Age,"datediff([demog_birthdate], [pres_date], ""y"")",,,,,[demog_birthknow]='1',,This refers to the patient's age.,"Age is calculated, if the date of birth is known, as the difference between the date of birth and the most recent date of presentation or admission to the facility.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1
presentation,DEMOGRAPHICS,demog_age,text,Age,,number,0,,,[demog_birthknow]='0',,This refers to the patient's age.,"For participants over the age of two years, please report age in years. For children under the age of two years, please report in months. For neonates below the age of one month, please report in days.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1
presentation,DEMOGRAPHICS,demog_age_units,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,[demog_birthknow]='0',,This refers to the patient's age at presentation to the health facility.,Select the most appropriate units for age.,SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1
presentation,DEMOGRAPHICS,demog_country,user_list,Country,,,,,demographics_Country,,,This refers to the country of enrolment,Indicate the country of enrolment,,,,,,,
presentation,DEMOGRAPHICS,demog_outcountry,radio,Was the patient born outside the reporting country?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to birth of the particpant outside the reporting country,Indicate whether the particpant was born outside the reporting country,,,,,,,
presentation,DEMOGRAPHICS,demog_height,,Height (select units),,,,,,,,Actual or closest estimate to height at time of admission.,,,,,,,1,
presentation,DEMOGRAPHICS,demog_height_cm,number,Height (cm),,number,0,250,,,,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in centimetres. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in centimetres (cm). For children under the age of 2, please use length.",SNOMED,"1153637007, Body height (observable entity)","C489786, Height",,,1,
presentation,DEMOGRAPHICS,demog_height_in,number,Height (in),,number,0,98,,,,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in inches. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in inches (in). For children under the age of 2, please use length.",,"1153637007, Body height (observable entity)","C489786, Height",,,1,
presentation,DEMOGRAPHICS,demog_weight,,Weight (select units),,,,,,,,Actual or closest estimate to weight at time of admission.,,,,,,,1,
presentation,DEMOGRAPHICS,demog_weight_kg,number,Weight (kg),,number,0,800,,,,"This refers to the weight of a subject, expressed in kilograms (kg).",Indicate the patient's weight in kilograms (kg).,SNOMED,"27113001,  Body weight (observable entity)","C591, Body Weight",,,1,
presentation,DEMOGRAPHICS,demog_weight_lb,number,Weight (lb),,number,0,1763,,,,"This refers to the weight of a subject, expressed in pounds (lb).",Indicate the patient's weight in pounds (lb).,,"27113001,  Body weight (observable entity)","C591, Body Weight",,,1,
presentation,DEMOGRAPHICS,demog_race,multi_list,Race (select all that apply),,,,,demographics_Race,,,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,Select all that apply.,SNOMED,"103579009, Race (observable entity)","C3853635, Race",,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_cns,descriptive,Neurological comorbidities,,,,,,,Nervous system,This refers to comorbidities relating to the nervous system.,,,,,,risk_factor_comor,1,1
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrneurolo,radio,Chronic neurological disorder,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Includes disorders of the brain, spinal cord, cranial nerves, peripheral nerves, nerve roots, autonomic nervous system, neuromuscular junction, and muscle. This can include any of cerebral palsy, multiple sclerosis, motor neurone disease, muscular dystrophy, myasthenia gravis, Parkinson's disease, stroke, and severe learning difficulty.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"118940003, Disorder of the nervous system (disorder)","C27765, Nervous system disorder",,risk_factor_comor,1,1
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_epilepsy,radio,Epilepsy,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,This refers to a disorder causing recurrent unprovoked seizures,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"84757009, Epilepsy (disorder)",,,risk_factor_comor,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_dementia,radio,Dementia,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as evidence from the history and mental status examination that indicates major impairment in learning and memory as well as impairment in at least one of the following: handling complex tasks; reasoning ability; spatial ability and orientation; language. The cognitive symptoms must significantly interfere with the individual's work performance, usual social activities, or relationships with other people. This must represent a significant decline from a previous level of functioning. The disturbances are not occurring exclusively during the course of delirium, and the disturbances are not better accounted for by a major psychiatric diagnosis. Chronic cognitive deficit is included.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"52448006, Dementia","C1969275, Dementia",,risk_factor_comor,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_resp,descriptive,Respiratory comorbidities,,,,,,,Respiratory,This refers to comorbidities relating to the respiratory system.,,,,,,risk_factor_comor,1,1
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrpulmona,radio,Chronic pulmonary disease (not asthma),"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"Defined as any pulmonary condition other than asthma, that is a disease or disorder of slow progression and long duration which causes continuous or episodic periods of illness and/or incapacity.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"413839001, Chronic lung disease","C74612, Chronic Lung Disorder",,risk_factor_comor,1,1
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_asthma,radio,Asthma,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"This is defined as clinician-diagnosed asthma, a chronic airway disorder characterized by variable and recurring symptoms of airflow obstruction, bronchial hyper-responsiveness, and/or underlying inflammation. Current pharmaceutical intervention - for prevention or treatment of symptoms - is not a pre-requisite for the inclusion of this diagnosis.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"195967001, Asthma (disorder)","C422931, Asthma",,risk_factor_comor,1,1
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antiviral,radio,Antiviral,"1, Yes | 0, No | 99, Unknown",,,,,,,"An antiviral agent refers to any agent(s) prescribed to treat or prevent viral infections by interfering with the viral replication cycle. Examples of neuraminidase inhibitors include oseltamivir, ribavirin, acyclovir and lopinavir/ritonavir. Topical preparations are not included.","Indicate 'Yes', if the patient has taken an antiviral in the 14 days prior to this most recent admission / presentation",,,,,,1,1
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antiviral_type,multi_list,Antiviral,,,,,drugs_Antiviral,[drug14_antiviral] = '1',,"An antiviral agent refers to any agent(s) prescribed to treat or prevent viral infections by interfering with the viral replication cycle. Examples of neuraminidase inhibitors include oseltamivir, ribavirin, acyclovir and lopinavir/ritonavir. Topical preparations are not included.",Select the antiviral(s) prescribed or taken by the patient in the 14 days prior to this most recent admission / presentation,SNOMED,"788081006, Medicinal product acting as antiviral agent (product)|","C3451, Antiviral agent",,,1,1
presentation,VACCINATION,vacci_covid19,radio,Vaccinated for COVID-19 (ever),"1, Yes | 0, No | 99, Unknown",,,,,,,"Ever received a vaccine targeted against SARS-Cov-2. Examples include Spikevax (Moderna), Comirnaty (Pfizer/BioNTech), Nuvaxovid (Novavax), Vaxzevria (AstraZeneca/Oxford), Janssen COVID-19 Vaccine (Johnson & Johnson), Valneva (Valneva).","Indicate 'Yes', if the patient has ever received a vaccine targetted against SARS-Cov-2",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_covid19_lastdate,date_dmy,Date of most recent COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19] = '1',,"This refers to the date on which the most recent COVID-19 vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ","Write the date of most recent COVID-19 vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,1,
presentation,VACCINATION,vacci_covid19_lasttype,radio,Type of most recent COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 88, Other",,,,,[vacci_covid19] = '1',,Refers to the type of the most recent COVID-19 vaccine the patient received.,Select the type of most recent COVID-19 vaccine.,,,,,,1,
presentation,VACCINATION,vacci_covid19_lasttype_oth,text,Specify other type of COVID-19 vaccine,,,,,,[vacci_covid19_lasttype] = '88',,Refers to the type of the most recent COVID-19 vaccine the patient received.,"If 'Other', specify the type of COVID-19 vaccine.",,,,,,1,
presentation,VACCINATION,vacci_influenza,radio,Vaccinated for seasonal influenza (ever),"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting seasonal influenza.,"Indicate 'Yes', if the patient has ever received a seasonal influenza vaccine.",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_influenza_date,date_dmy,Date of most recent seasonal influenza vaccine,,date_dmy,,today,,[vacci_influenza] = '1',,This refers to the date of the most recent seasonal influenza vaccine,"Write the date of the most recent seasonal influenza vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_influenza_type,radio,Type of last influenza vaccine,"1, Inactivated Influenza Vaccine (IIV) | 2, Live Attenuated Influenza Vaccine (LAIV) | 3, Recombinant Influenza Vaccine (RIV) | 4, Cell-Based Influenza Vaccine (ccIIV) | 5, Egg-Based Influenza Vaccine | 6, mRNA-Based Influenza Vaccines (Emerging Technology) | 99, Unknown | 88, Other",,,,,[vacci_influenza] = '1',,This refers to the type of the most recent seasonal influenza vaccine,Select the most appropriate option which represents the type of most recent seasonal influenza vaccine.,,,,,,1,
presentation,VACCINATION,vacci_influenza_type_oth,text,Specify type of Influenza vaccine,,,,,,[vacci_influenza_type] = '88',,This refers to the type of the most recent seasonal influenza vaccine,"If 'Other', specify the type of most recent seasonal infuenza vaccine.",,,,,,1,
presentation,VACCINATION,vacci_aviinflu,radio,Vaccinated for avian influenza ,"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting avian influenza.,"Indicate 'Yes', if the patient has ever received an avian influenza vaccine.",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_aviinflu_date,date_dmy,Date of most recent avian influenza vaccine,,date_dmy,,today,,[vacci_aviinflu] = '1',,This refers to the date of the most recent avian influenza vaccine,"Write the date of the most recent avian influenza vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_aviinflu_type,radio,Type of most recent avian influenza vaccine,"1, Quadrivalent, recombinant | 2, Quadrivalent, adjuvanted inactivated | 3, Quadrivalent, high dose | 4, Quadrivalent, cell-based | 5, Influenza Tetra MYL | 6, Trivalent, recombinant | 7, Trivalent, high dose | 8, Trivalent, adjuvant inactivated | 9, Trivalent, intranasal | 10, H5N1 (Audenz, Aflunov) | 99, Unknown | 88, Other",,,,,[vacci_aviinflu] = '1',,This refers to the type of the most recent avian influenza vaccine,Select the most appropriate option which represents the type of most recent avian influenza vaccine.,,,,,,1,
presentation,VACCINATION,vacci_aviinflu_type_oth,text,Specify type of avian Influenza vaccine,,,,,,[vacci_aviinflu_type]='88',,This refers to the type of the most recent avian influenza vaccine,"If 'Other', specify the type of most recent avian infuenza vaccine.",,,,,,1,
presentation,VACCINATION,vacci_rsv,radio,Vaccinated for Respiratory Syncytial Virus (RSV),"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting Respiratory Syncytial Virus.,"Indicate 'Yes', if the patient has ever received a RSV vaccine.",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_rsv_date,date_dmy,Date of most recent Respiratory Syncytial Virus (RSV) vaccine,,date_dmy,,today,,[vacci_rsv] = '1',,This refers to the date of the most recent avian influenza vaccine,"Write the date of the most recent RSV vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,risk_factor_comor,1,
presentation,VACCINATION,vacci_rsv_type,radio,Type of most recent Respiratory Syncytial Virus (RSV) vaccine,"1,  Abrysvo (Pfizer) | 2,  Arexvy (GlaxoSmithKline) | 3, mResvia (Moderna)  | 99, Unknown | 88, Other",,,,,[vacci_rsv] = '1',,This refers to the type of the most recent Respiratory Syncytial Virus (RSV) influenza vaccine,Select the most appropriate option which represents the type of most recent Respiratory Syncytial Virus (RSV) influenza vaccine.,,,,,,1,
presentation,VACCINATION,vacci_rsv_type_oth,text,Specify type of Respiratory Syncytial Virus (RSV) vaccine,,,,,,[vacci_rsv_type]='88',,This refers to the type of the most recent Respiratory Syncytial Virus (RSV) influenza vaccine,"If 'Other', specify the type of most recent Respiratory Syncytial Virus (RSV) infuenza vaccine.",,,,,,1,
presentation,VACCINATION,vacci_pneumococo,radio,Vaccinated for pneumococcal disease,"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting Pneumococcus (Streptococcus pneumoniae).,"Indicate 'Yes', if the patient has ever received a  Pneumococcal vaccine.",,,,,,1,
presentation,VACCINATION,vacci_pneumococo_date,date_dmy,Date of most recent pneumococcal disease vaccine,,date_dmy,,today,,[vacci_pneumococo]='1',,This refers to the date of the most recent Pneumococcal vaccine,"Write the date of the most recent  Pneumococcal vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sys,descriptive,Systemic / general symptoms,,,,,,,Systemic/General,This refers to systemic / general / non-specific signs and symptoms,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_fever,radio,Fever,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the sensation of elevated body temperature without formal measurement, or a measured body temperature greater or equal to 38-degrees Celsius (38°C) or 1.4-Fahrenheit (1.4°F). ","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"386661006, Fever","C15967, Fever",,clinical_features,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_anosmia,radio,Loss of smell / anosmia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed inability of the patient to perceive odours,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"44169009, Loss of sense of smell","C3126, Anosmia",,clinical_features,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_ageusia,radio,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed loss of taste function of the tongue.,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"36955009, Loss of taste","C2364111, Ageusia",,clinical_features,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_resp,descriptive,Respiratory symptoms,,,,,,,Respiratory,This refers to signs and symptoms relating to the respiratory system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough,radio,Cough,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"This refers to the presence of a cough and its characteristics. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"49727002, Cough (finding)","C12, Coughing",,clinical_features,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_type,radio,Cough type,"1, Non Productive  | 2, Productive |3, Haemoptysis |99, Unknown",,,,,[adsym_cough] = '1',Respiratory,This refers to the type of cough. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus),"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,28743005 Productive Cough,C451597 Productive Cough ,,clinical_features,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sorethroat,radio,Sore throat,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"Defined as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"267102003, Sore throat","C3854544, Sore throat",,clinical_features,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_rhinorrhoe,radio,Runny nose / rhinorrhoea,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as increased mucosal discharge of the nose.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"64531003, Nasal Discharge","C12688, Rhinorrhea",,clinical_features,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_wheezing,radio,Wheezing,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as a high-pitched breath sound resulting from a narrowing or obstruction of the small airway.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"56018004, Wheezing","C43144, Wheezing",,clinical_features,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_shortbreat,radio,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as the uncomfortable sensation of difficult or laboured breathing that is out of proportion to the patient's level of physical activity.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"267036007, Dyspn","C423442, Dyspnea",,clinical_features,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nasalcongestion,radio,Nasal congestion,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as reduced ability to pass air through the nasal cavity often leading to mouth breathing. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,
