Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
presentation,DEMOGRAPHICS,demog_healthcare_ptfacing,radio,Patient facing,"1, Yes | 0, No | 99, Unknown",,,,,[demog_healthcare] = '1',,This refers to a patient that is employed in the healthcare industry delivering care in patient-facing settings (i.e. roles that involve interaction directly with patients). ,Select the most appropriate option.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1,,1,,,
presentation,DEMOGRAPHICS,demog_healthcare_expbiosample,radio,Exposed to biological samples,"1, Yes | 0, No | 99, Unknown",,,,,[demog_healthcare] = '1',,"This refers to a patient that is employed in the healthcare industry delivering care in non-patient facing settings but are exposed to biological samples (e.g. laboratory staff, medical waste handlers). ",Select the most appropriate option.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1,,1,,,
presentation,DEMOGRAPHICS,demog_riskoccupa,user_list,Patient's occupation,,,,,demographics_Occupation,,,This refers to the principal activity that a person does to earn a living.,Select all that apply.,,,,,risk_factor_socio,,,,1,,
presentation,DEMOGRAPHICS,demog_occupation,radio,Primary location of occupation,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 8, Outdoors-animal contact (vet, animal farmer, abattoir worker) | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 88, Other | 99, Unknown",,,,,,,This refers to the location in which the patient conducts the majority of work related to their current occupation. ,Select the most appropriate option that represents the primary location of occupation.,,,,,risk_factor_socio,,1,,,,
presentation,DEMOGRAPHICS,demog_occupation_oth,text,Specify other primary location of occupation,,,,,,[demog_occupation]='88',,This refers to the location in which the patient conducts the majority of work related to their current occupation. ,"If 'Other', specify the primary location of occupation.",,,,,risk_factor_socio,,1,,,,
presentation,DEMOGRAPHICS,demog_residence,radio,Patient's city of residence,"1, Same as health care facility | 2, Different from health care facility | 99, Unknown",,,,,,,This refers to the city which a person dwells more than temporarily or lives permanently. ,"If the patient's city of residence is different to the city in which this healthcare facility is located, Specify the patient's region of residence below.",SNOMED,"433178008, City of residence (observable entity)","C2316883, City of residence",,risk_factor_socio,,1,,,,
presentation,DEMOGRAPHICS,demog_residence_oth,text,Specify other region of residence,,,,,,[demog_residence]='2',,This refers to the city which a person dwells more than temporarily or lives permanently. ,"If 'Different from health case facility', specify the patient's region of residence.",SNOMED,"433178008, City of residence (observable entity)","C2316883, City of residence",,risk_factor_socio,,1,,,,
presentation,TRAVEL HISTORY,travel_travel14d,radio,Did the patient travel outside of their home region in the past 14 days?,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to travel to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.","Indicate 'Yes', if the patient travelled to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.",SNOMED,"129018004, Traveling (observable entity)","C0040802, travel",,,,1,,,,
presentation,TRAVEL HISTORY,travel_loc,notes,Specify all city / cities or town(s) and region(s) of travel,,,,,,[travel_travel14d] = '1',,"This refers to all city / cities or town(s) and region(s), which the patient travelled to within 14 days before symptoms relating to the current illness began.","If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location(s) that were visited.",,,,,,,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_yn,radio,History of contact with suspected or confirmed human case of same pathogen?,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to the patient having a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).","Indicate 'Yes', if the patient has a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",,,,,,,,1,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_date,date_dmy,Date of contact with suspected or confirmed case,,date_dmy,,today,,[expo14_yn]='1',,"This refers to the date of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",Write the date of contact with suspected or confirmed case in format DD/MM/YYYY.,,,,,,,,1,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_type,checkbox,Type of human exposure,"1, Community contact | 2, Vertical transmission | 3, Healthcare worker exposure | 4, Sexual transmission | 5, Family / household contact | 88, Other | 99, Unknown",,,,,[expo14_yn]='1',,This refers to the mode of exposure to a suspected or confirmed case. Community contact refers to exposure event outside of healthcare setting. Vertical transmission refers to transmission from mother-to-child. Healthcare worker exposure refers to an exposure event in a healthcare setting. Sexual transmission refers to infection propagated by sexual contact. Family / household contact refers to infection transmission from individuals who expect to share living accommodation on most days (and therefore for whom continuing close contact is unavoidable),Select all that apply.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_type_oth,text,Specify other type of human exposure,,,,,,[expo14_type(88)]='1',,This refers to the mode of exposure to a suspected or confirmed case not specified above.,"If 'Other', specify the mode of exposure to a suspected or confirmed case.",,,,,,,,1,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_setting,radio,Contact setting,"1, Household | 2, Occupational | 4, Healthcare facility | 88, Other | 99, Unknown",,,,,,,This refers to the environment within which the person may have come into contact with a suspected or confirmed case.,Select the most appropriate option that represents the contact setting with a confirmed or suspected case.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_setting_oth,text,Specify other contact setting,,,,,,[expo14_setting]='88',,This refers to the environment within which the person may have come into contact with a suspected or confirmed case.,"If 'Other', specify the contact setting with a confirmed or suspected case.",,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon,radio,"Any contact with animals, animal homes, meats or other animal products in the last 14 days?","1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Indicate 'Yes' if the patient was in contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.",,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_date,date_dmy,Date of contact with suspected or confirmed animal source,,date_dmy,,today,,[expo14_animalcon]='1',,"This refers to the date of contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Write the date of contact with animals, animal homes, meats or other animal products which occurred in the last 14 days, in format DD/MM/YYYY.",,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_bird,radio,"Contact with live bird (e.g. chickens, turkeys, ducks)","1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,"This refers to contact with live bird (e.g. chickens, turkeys, ducks) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_cow,radio,Contact with dairy cows and/or milking equipment,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with dairy cows and/or milking equipment which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_othercow,radio,Contact with cattle other than dairy cows ,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with cattle other than dairy cows which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_pig,radio,Contact with pigs,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with pigs which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_nhprim,radio,Contact with non-human primates,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,"This refers to contact with non-human primates (a group of mammals composed of simians – monkeys and apes – and prosimians, such as lemurs) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rat,radio,"Contact with rodents (e.g. rats, mice, squirrels)","1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,"This refers to contact with rodents (e.g. rats, mice, squirrels) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_cats,radio,Contact with cats,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with cats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_domani,radio,Contact with dogs,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with dogs which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_feces,radio,Contact with animal faeces or nests,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with animal faeces or nests which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_sickanim,radio,Contact with sick animal or dead animal,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with sick animal(s) or dead animal(s) which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rawmeat,radio,Contact with raw animal meat / animal blood,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with raw animal meat / animal blood which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_unpasteur,radio,Contact with or consumption of unpasteurised milk or dairy products,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to contact with or consumption of unpasteurised milk or dairy products which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_wildgame,radio,"Contact with skinned, dressed or eaten wild game ","1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,"This refers to contact with skinned, dressed or eaten wild game which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_visitzoo,radio,"Visit to live animal market, farm or zoo","1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,"This refers to visit to live animal market, farm or zoo which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_animalsurg,radio,Participated in animal surgery or necropsy,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,This refers to participation in animal surgery or necropsy which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_other,radio,Other animal contact not listed above ,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_animalcon]='1',,"This refers to other animal contact, not listed above, which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_oth,text,Specify other animal contacts,,,,,,[expo14_animalcon_other]='1',,"This refers to other animal contact, not listed above, which occurred in the last 14 days.","If 'Yes', specify any other animal contact with occurred in the last 14 days.",,,,,,,,,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_wild,radio,Contact with wildlife,"1, Yes | 0, No | 99, Unknown",,,,,,,Refers to a patient who had direct physical contact or having been in close proximity with animals considered to be wild or feral or not adapted for domestic use. It does not include wild animals in zoos. Contact must have occurred in the 14 days prior to first symptom onset. ,Indicate 'Yes' if the patient has had exposure to wildlife in the 14 days prior to first symptom onset.,,,,,,,,1,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_wild_spec,text,Specify contact with wildlife,,,,,,[expo14_wild]='1',,Refers to a patient who had direct physical contact or having been in close proximity with animals considered to be wild or feral or not adapted for domestic use. It does not include wild animals in zoos. Contact must have occurred in the 14 days prior to first symptom onset. ,"If 'Yes', specify the mode of contact to wildlife.",,,,,,,,1,,,
presentation,PREGNANCY,preg_pregnant,radio,Pregnant,"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' ,,This refers to women who reports to be pregnant and/or have had a positive pregnancy test in recent days. ,"Indicate 'Yes', if the patient is pregnant. If the patient is of fertile age with no negative pregnancy test select 'Unknown'.  ",SNOMED,"77386006, Pregnant (finding)","C0549206, Pregnant",,risk_factor_demo,1,1,1,1,,
presentation,PREGNANCY,preg_geswek,number,Gestational weeks assessment,,number,0,,,[preg_pregnant] = '1',,This refers to the gestational age of the foetus (written in weeks). It can be calculated from the woman's last menstrual period (LMP) or calculated using the best obstetrical estimated due date (EDD) based on the following formula: Gestational Age = (280 - (EDD - Reference Date)). The reference date is the date in which you are trying to determine the gestational age.,Indicate the estimated gestational age of the foetus (in weeks).,SNOMED,57036006 |Fetal gestational age (observable entity)|,"CL1385889, Gestational weeks",,,1,1,1,1,,
presentation,PREGNANCY,preg_postpartum,radio,Post-partum (within 6 weeks of delivery),"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' and [preg_pregnant]<>1 and [demog_age_units]='1',,This refers to the temporal period relating to mother from completion of labour until six weeks post-delivery.,"Indicate 'Yes', if the patient is in post-partum period (within 6 weeks of delivery).",SNOMED,"86569001, Postpartum state (finding)","C0086839, Postpartum Period",,risk_factor_demo,1,1,1,1,,
presentation,PREGNANCY,preg_delvdt,date_dmy,Delivery date,,date_dmy,,today,,[preg_postpartum] = '1',,This refers to the actual date of delivery.,Enter the date of delivery in DD/MM/YYYY format.,SNOMED,"386216000, Human parturition, function (observable entity)",,,,1,,1,1,,
presentation,PREGNANCY,preg_bboutc,radio,Pregnancy outcome,"1, Live birth | 2, Stillbirth | 4, Miscarriage | 3, Termination",,,,,[preg_postpartum]='1',,This refers to the outcome of previous conception and ensuing pregnancy.,Indicate the outcome of the previous pregnancy.,SNOMED,"1, 281050002 Livebirth (finding)| 2, 237364002 Stillbirth (finding) | 4, 17369002 Miscarriage (disorder) | 3, 386639001 Termination of pregnancy (procedure) |","C0032972, Pregnancy Outcome | 1, C0419373 Livebirth | 2, C0595939 Stillbirth | 4, C4552766 Miscarriage | 3, C0392535 Termination of pregnancy",,,1,1,1,1,,
presentation,PREGNANCY,preg_gesweekout,number,Gestational weeks at pregnancy outcome,,number,0,,,[preg_postpartum] = '1',,This refers to the gestational age (in weeks) at the pregnancy outcome (livebirth / stillbirth / miscarriage / termination of pregnancy).,Indicate the estimated gestational age in weeks.,SNOMED,57036006 |Fetal gestational age (observable entity)|,,,,1,1,1,1,,
presentation,PREGNANCY,preg_bbtest,radio,Baby tested for mother's infection of interest,"1, Yes | 0, No | 99, Unknown",,,,,[preg_postpartum] = '1',,This refers to testing the baby for the mother's infection of interest.,Indicate 'Yes' if the baby was tested for the mother's infection of interest.,,,,,,1,,1,1,,
