Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,Comment,Value
Retroviridae,77622001,SNOMED,virus,,,,,,,,,,,285
Rhabdoviridae,407326003,SNOMED,virus,,,,,,,,,,,286
Rhizomucor,85711000,SNOMED,fungi,,,,,,,,,,,287
Rhizopus,17683005,SNOMED,fungi,,,,,,,,,,,288
Rift Valley fever virus,28335002,SNOMED,virus,,1,,,,,,,,,289
Ross River virus,32458000,SNOMED,virus,,,,,,,,,,,290
Rotavirus,417542000,SNOMED,virus,,,,,,,,,,,291
Rubella virus,5210005,SNOMED,virus,,,,,,,,,,,292
SARS-CoV-2,840533007,SNOMED,virus,1,,,,1,,1,1,,,293
SARS-CoV-2  Beta - B.1.351,840533008,SNOMED,virus,,,,,,,,,,,294
SARS-CoV-2  Delta - B.1.617.2,840533009,SNOMED,virus,,,,,,,,,,,295
SARS-CoV-2  Eta - B.1.525,840533010,SNOMED,virus,,,,,,,,,,,296
SARS-CoV-2  Gamma - P.1,840533011,SNOMED,virus,,,,,,,,,,,297
SARS-CoV-2  Iota - B.1.526,840533012,SNOMED,virus,,,,,,,,,,,298
SARS-CoV-2  Kappa - B.1.617.1,840533013,SNOMED,virus,,,,,,,,,,,299
SARS-CoV-2  Omicron ,840533014,SNOMED,virus,,,,,,,,,,,300
SARS-CoV-2  Omicron - B.1.1.529,840533015,SNOMED,virus,,,,,,,,,,,301
SARS-CoV-2  Omicron - B.1.1.529.2 BA.2,840533016,SNOMED,virus,,,,,,,,,,,302
SARS-CoV-2  Omicron - B.1.1.529.5 BA.5,840533017,SNOMED,virus,,,,,,,,,,,303
SARS-CoV-2  Theta- P.3,840533018,SNOMED,virus,,,,,,,,,,,304
SARS-CoV-2  Zeta - P.2,840533019,SNOMED,virus,,,,,,,,,,,305
SARS-CoV-2 Alpha - B.1.1.7,840533020,SNOMED,virus,,,,,,,,,,,306
SARS-CoV-2 Antigen,840536004,SNOMED,virus (substance),,,,,,,,,,,307
SARS-CoV-2 IgG Antibody,6.30E+13,SNOMED,virus (substance),,,,,,,,,,,308
SARS-CoV-2 IgG/IgM Antibody,840535000,SNOMED,virus (substance),,,,,,,,,,,309
SARS-CoV-2 IgM Antibody,5.06E+13,SNOMED,virus (substance),,,,,,,,,,,310
Saccharomyces cerevisiae,765320007,SNOMED,fungi,,,,,,,,,,,311
Salmonella,27268008,SNOMED,bacteria,,,,,,,,,,,312
Salmonella hirschfeldii,32488009,SNOMED,bacteria,,,,,,,,,,,313
Sapovirus,407362002,SNOMED,virus,,,,,,,,,,,314
Scedosporium,31901009,SNOMED,fungi,,,,,,,,,,,315
Schistosoma,53583001,SNOMED,"parasite, helminth",,,,,,,,,,,316
Schistosoma guineensis,,,"parasite, helminth",,,,,,,,,,,317
Schistosoma haematobium,3294004,SNOMED,"parasite, helminth",,,,,,,,,,,318
Schistosoma intercalatum,15685002,SNOMED,"parasite, helminth",,,,,,,,,,,319
Schistosoma japonicum,5249008,SNOMED,"parasite, helminth",,,,,,,,,,,320
Schistosoma mansoni,11168007,SNOMED,"parasite, helminth",,,,,,,,,,,321
Schistosoma mekongi,75475007,SNOMED,"parasite, helminth",,,,,,,,,,,322
Serratia,42025004,SNOMED,bacteria,,,,,,,,,,,323
Serratia liquefaciens,23787004,SNOMED,bacteria,,,,,,,,,,,324
Serratia marcescens,33522002,SNOMED,bacteria,,,,,,,,,,,325
Serratia ureilytica,450416004,SNOMED,bacteria,,,,,,,,,,,326
Severe Acute Respiratory Syndrome Coronavirus 2,1.24E+15,SNOMED,virus,,,,,,,,,,,327
Severe Acute Respiratory Syndrome-Related Coronavirus,415360003,SNOMED,virus,,,,,,,,,,,328
Severe fever with thrombocytopaenia syndrome (SFTS) ,722401001,SNOMED,virus,,,,,,,,,,,329
Shigella,77352002,SNOMED,bacteria,,,,,,,,,,,330
Shigella boydii,55462008,SNOMED,bacteria,,,,,,,,,,,331
Shigella dysenteriae,43612004,SNOMED,bacteria,,,,,,,,,,,332
Shigella flexneri,85729005,SNOMED,bacteria,,,,,,,,,,,333
Shigella sonnei,4298009,SNOMED,bacteria,,,,,,,,,,,334
Simplexvirus (Genus),314797000,SNOMED,virus,,,,,,,,,,,335
Sphingomonas paucimobilis,243350004,SNOMED,bacteria,,,,,,,,,,,336
Sporothrix schenckii,32662000,SNOMED,fungi,,,,,,,,,,,337
Staphylococcus,65119002,SNOMED,bacteria,,,,,,,,,,,338
Staphylococcus aureus,3092008,SNOMED,bacteria,,,,,,,,,,,339
Staphylococcus capitis,40347003,SNOMED,bacteria,,,,,,,,,,,340
Staphylococcus caprae,76969000,SNOMED,bacteria,,,,,,,,,,,341
Staphylococcus cohnii,66872005,SNOMED,bacteria,,,,,,,,,,,342
Staphylococcus epidermidis,60875001,SNOMED,bacteria,,,,,,,,,,,343
Staphylococcus haemolyticus,83452006,SNOMED,bacteria,,,,,,,,,,,344
Staphylococcus hominis,44827007,SNOMED,bacteria,,,,,,,,,,,345
Staphylococcus hominis hominis,432505008,SNOMED,bacteria,,,,,,,,,,,346
Staphylococcus lugdunensis,103494005,SNOMED,bacteria,,,,,,,,,,,347
Staphylococcus pettenkoferi,428731005,SNOMED,bacteria,,,,,,,,,,,348
Staphylococcus saprophyticus,19743000,SNOMED,bacteria,,,,,,,,,,,349
Staphylococcus simulans,52122005,SNOMED,bacteria,,,,,,,,,,,350
Staphylococcus warneri,63550006,SNOMED,bacteria,,,,,,,,,,,351
Stenotrophomonas,115656007,SNOMED,bacteria,,,,,,,,,,,352
Stenotrophomonas maltophilia,113697002,SNOMED,bacteria,,,,,,,,,,,353
Streptococcus,58800005,SNOMED,bacteria,,,,,,,,,,,354
