Microorganism,Code,Library,Type,Value
Pneumocystis,115987006.0,SNOMED,fungi,157
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158
Prion diseases,20484008.0,SNOMED,Prions,159
Rabies virus,59881000.0,SNOMED,virus,160
Respiratory Syncytial Virus (RSV),6415009.0,SNOMED,virus,161
Retroviridae,77622001.0,SNOMED,virus,162
Rhabdoviridae,407326003.0,SNOMED,virus,163
Rhizomucor,85711000.0,SNOMED,fungi,164
Rhizopus,17683005.0,SNOMED,fungi,165
Rift Valley fever virus,28335002.0,SNOMED,virus,166
Ross River virus,32458000.0,SNOMED,virus,167
Rotavirus,417542000.0,SNOMED,virus,168
Rubella virus,5210005.0,SNOMED,virus,169
SARS-CoV-2,840533007.0,SNOMED,virus,170
SARS-CoV-2  Beta - B.1.351,,,virus,171
SARS-CoV-2  Delta - B.1.617.2,,,virus,172
SARS-CoV-2  Eta - B.1.525,,,virus,173
SARS-CoV-2  Gamma - P.1,,,virus,174
SARS-CoV-2  Iota - B.1.526,,,virus,175
SARS-CoV-2  Kappa - B.1.617.1,,,virus,176
SARS-CoV-2  Omicron ,,,virus,177
SARS-CoV-2  Omicron - B.1.1.529,,,virus,178
SARS-CoV-2  Omicron - B.1.1.529.2 BA.2,,,virus,179
SARS-CoV-2  Omicron - B.1.1.529.5 BA.5,,,virus,180
SARS-CoV-2  Theta- P.3,,,virus,181
SARS-CoV-2  Zeta - P.2,,,virus,182
SARS-CoV-2 Alpha - B.1.1.7,,,virus,183
SARS-CoV-2 Antigen,840536004.0,SNOMED,virus (substance),184
SARS-CoV-2 IgG Antibody,63000000000000.0,SNOMED,virus (substance),185
SARS-CoV-2 IgG/IgM Antibody,840535000.0,SNOMED,virus (substance),186
SARS-CoV-2 IgM Antibody,50600000000000.0,SNOMED,virus (substance),187
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188
Sapovirus,407362002.0,SNOMED,virus,189
Scedosporium,31901009.0,SNOMED,fungi,190
Schistosoma,53583001.0,SNOMED,"parasite, helminth",191
Schistosoma guineensis,,,"parasite, helminth",192
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",193
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",196
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197
Severe Acute Respiratory Syndrome Coronavirus 2,1240000000000000.0,SNOMED,virus,198
Severe Acute Respiratory Syndrome-Related Coronavirus,415360003.0,SNOMED,virus,199
Severe fever with thrombocytopaenia syndrome (SFTS) ,722401001.0,SNOMED,virus,200
Simplexvirus (Genus),314797000.0,SNOMED,virus,201
Sporothrix schenckii,32662000.0,SNOMED,fungi,202
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204
Taenia solium,17966003.0,SNOMED,"parasite, helminth",205
Talaromyces marneffei,71825007.0,SNOMED,fungi,206
Togoviridae,129231002.0,SNOMED,virus,207
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",208
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",209
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",211
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",212
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213
Trichophyton,88578003.0,SNOMED,fungi,214
Trichosporon asahii,243475001.0,SNOMED,fungi,215
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",216
Trypanosoma,40740003.0,SNOMED,"parasite, protozoa",217
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",220
West Nile virus,57311007.0,SNOMED,virus,221
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",222
Yeast,62093005.0,SNOMED,fungi,223
Zika virus,50471002.0,SNOMED,virus,224
