Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI
presentation,ONSET & PRESENTATION,dates_symptpres,radio,Symptomatic at initial presentation?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to whether the patient was symptomatic at the initial presentation. ,"Indicate 'Yes', if the patient was symptomatic at the initial presentation.",,,,,,,,,1,,,,
presentation,ONSET & PRESENTATION,dates_firstsym,multi_list,Symptom(s) during first 24 hours of illness (select all that apply),,,,,conditions_Symptoms,,,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",Select all symptoms which the patient experienced during the first 24 hours of illness (select all that apply).,,,,,,,,1,1,,1,,
presentation,ONSET & PRESENTATION,dates_consultdate,date_dmy,Date of first clinical consultation,,date_dmy,,today,,,,This refers to the date of first clinical consultation related to the current episode of illness.,Provide the date of first clinical consultation related to the current episode of illness in DD/MM/YYYY format.,,,,,,,,,1,1,1,1,
presentation,ONSET & PRESENTATION,dates_adm,radio,Admitted to hospital,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to admission of the patient to your site for the current illness.,"Indicate 'Yes', if that patient was admitted to your site.",SNOMED,"32485007, Hospital admission (procedure)",,,,,1,1,1,1,1,1,
presentation,ONSET & PRESENTATION,dates_adm_reas,text,Reason for hospitalisation,,,,,,[dates_adm] = '1',,This refers to the reason (indication) for hospitalisation.,"If 'Yes', specify the reason (indication) for hospitalisation.",,,,,,,,,,1,1,1,
presentation,ONSET & PRESENTATION,dates_adm_date,date_dmy,Date of hospital admission,,date_dmy,,today,,[dates_adm] = '1',,This refers to the date of hospitalisation / admission of the patient to your site for the current illness.,Enter the date of hospitalisation / admission to your site (in DD/MM/YYYY format).,SNOMED,"32485007, Hospital admission (procedure)",,,,1,1,1,1,1,1,1,
presentation,ONSET & PRESENTATION,dates_adm_time,text,Time of hospital admission,,time,,,,[dates_adm] = '1',,This refers to admission of the patient to your site for the current illness.,Enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,,,,,,,1,,,,,,
presentation,ONSET & PRESENTATION,dates_enrolmentdate,date_dmy,Date of enrolment / start of data collection,,date_dmy,,today,,,,This refers to the date of enrolment / start of data collection.,Enter date of patient study enrolment in the format of day/month/year (DD/MM/YYYY).,,,,,,1,1,1,1,1,1,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev,radio,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",,,,,,,This refers to previous admission to a health facility or transfer from another health facility during the current episode of illness.,Select the most appropriate option that represents whether or not the patient admitted previously or transferred from any other facility during this illness episode.,,,,,,1,1,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_site,text,Name of transfer facility,,,,,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,This refers to the name of the facility from which the patient was previously admitted or transferred.,Enter the name of the facility from which the patient was previously admitted or transferred.,,,,,,,,1,1,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_date,date_dmy,Date of presentation at previous facility,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,This refers to the date of presentation to the facility at which the patient was previously admitted or transferred.,Enter the date of presentation to the facility at which the patient was previously admitted or transferred.,,,,,,,,,1,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prev_num,number,Total number of previous admissions for this infection,,number,1,,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,This refers to the number of times (for this infection) the patient has been admitted to a health facility.,Indicate the number of times (for this infection) the patient has been admitted to a health facility.,,,,,,1,1,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadmdate,date_dmy,Date of earliest admission for this infection,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' ,,"This refers to the date of the first admission for this illness. If the patient was first 'admitted to other facility, then transferred to this facility' record the date the patient was admitted to the other health facility.",Write the date in DD/MM/YYYY format.,,,,,,,1,1,1,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,radio,Has the patient's data been previously collected under a different participant identification number (PIN)? ,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to previous collection of the patient's data under a different Participant Identification Number (PIN),Indicate 'Yes' if the patient's data has been previously collected under a different participant identification number (PIN),,,,,,1,1,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,text,Previous Participant Identification Number (PIN),,,,,,[readm_difpin] = '1',,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,,,,,1,1,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_reas,radio,Is the patient being re-admitted with or due to infection with pathogen of interest?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to re-admission of the patient with or due to infection with pathogen of interest.,Indicate 'Yes' if the patient is being re-admitted with or due to infection with pathogen of interest.,,,,,,1,,,,,1,,
presentation,DEMOGRAPHICS,demog_sex,radio,Sex at birth,"1, Male | 2, Female | 99, Not specified/Unknown | 88, Other",,,,,,,This refers to the physical sexual characteristics at birth.,Select the most appropriate option that represents the physical sexual characteristics at birth.,SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1,1,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_sex_oth,text,Specify other sex at birth,,,,,,[demog_sex]='88',,This refers to the physical sexual characteristics at birth.,"If 'Other', specify the physical sexual characteristics at birth.",SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1,,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_gender,radio,Gender,"1, Man | 2, Woman | 3, Non-binary | 99, Unknown | 88, Other",,,,,,,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",Select the most appropriate option that represents the patient's gender identity.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,1,1,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_gender_oth,text,Specify other gender,,,,,,[demog_gender]='88',,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",If 'Other' specify patient's gender identity.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,1,1,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_birthknow,radio,Is the date of birth known?,"1, Yes | 0, No",,,,,,,This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.,SNOMED,"184099003, Date of birth (observable entity)","C0421451, Patient date of birth",,,1,1,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_birthdate,date_dmy,Date of birth,,date_dmy,,today,,[demog_birthknow]='1',,This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.,SNOMED,"184099003, Date of birth (observable entity)","C0421451, Patient date of birth",1,risk_factor_demo,1,1,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_age,text,Age,,number,0,,,[demog_birthknow]='0',,This refers to the patient's age.,"For participants over the age of two years, please report age in years. For children under the age of one year, please report in months. For neonates below the age of one month, please report in days.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1,1,1,1,1,1,1
presentation,DEMOGRAPHICS,demog_age_units,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,[demog_birthknow]='0',,This refers to the patient's age at presentation to the health facility.,Select the most appropriate units for age.,SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1,1,1,1,1,1,1
presentation,DEMOGRAPHICS,demog_country,user_list,Country,,,,,demographics_Country,,,This refers to the country of enrolment,Indicate the country of enrolment,,,,,,,,,1,,,,
presentation,DEMOGRAPHICS,demog_outcountry,radio,Was the patient born outside the reporting country?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to birth of the particpant outside the reporting country,Indicate whether the particpant was born outside the reporting country,,,,,,,,,1,,,,
presentation,DEMOGRAPHICS,demog_height,,Height (select units),,,,,,,,Actual or closest estimate to height at time of admission.,,,,,,,1,1,,1,1,1,,
presentation,DEMOGRAPHICS,demog_height_cm,number,Height (cm),,number,0,250,,,,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in centimetres. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in centimetres (cm). For children under the age of 2, please use length.",SNOMED,"1153637007, Body height (observable entity)","C0489786, Height",,,1,1,,1,1,1,,
presentation,DEMOGRAPHICS,demog_height_in,number,Height (in),,number,0,98,,,,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in inches. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in inches (in). For children under the age of 2, please use length.",,"1153637007, Body height (observable entity)","C0489786, Height",,,1,1,,1,1,1,,
presentation,DEMOGRAPHICS,demog_weight,,Weight (select units),,,,,,,,Actual or closest estimate to weight at time of admission.,,,,,,,1,1,,1,1,1,,
presentation,DEMOGRAPHICS,demog_weight_kg,number,Weight (kg),,number,0,800,,,,"This refers to the weight of a subject, expressed in kilograms (kg).",Indicate the patient's weight in kilograms (kg).,SNOMED,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1,1,,1,1,1,,
presentation,DEMOGRAPHICS,demog_weight_lb,number,Weight (lb),,number,0,1763,,,,"This refers to the weight of a subject, expressed in pounds (lb).",Indicate the patient's weight in pounds (lb).,,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1,1,,1,1,1,,
presentation,DEMOGRAPHICS,demog_race,multi_list,Race (select all that apply),,,,,demographics_Race,,,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,Select all that apply.,SNOMED,"103579009, Race (observable entity)","C3853635, Race",,,1,1,,1,1,1,1,
presentation,DEMOGRAPHICS,demog_healthcare,radio,Employed as a healthcare worker,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to a patient that is employed in the healthcare industry. ,Select the most appropriate option.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_healthcare_ptfacing,radio,Patient facing,"1, Yes | 0, No | 99, Unknown",,,,,[demog_healthcare] = '1',,This refers to a patient that is employed in the healthcare industry delivering care in patient-facing settings (i.e. roles that involve interaction directly with patients). ,Select the most appropriate option.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_healthcare_expbiosample,radio,Exposed to biological samples,"1, Yes | 0, No | 99, Unknown",,,,,[demog_healthcare] = '1',,"This refers to a patient that is employed in the healthcare industry delivering care in non-patient facing settings but are exposed to biological samples (e.g. laboratory staff, medical waste handlers). ",Select the most appropriate option.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_riskoccupa,user_list,Does the patient practise any of these professions or a profession related to their infection,,,,,demographics_Occupation,,,This refers to the principal activity that a person does to earn a living.,Select all that apply.,,,,,risk_factor_socio,,,,,1,1,,
presentation,DEMOGRAPHICS,demog_occupation,radio,Primary location of occupation,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 8, Outdoors-animal contact (vet, animal farmer, abattoir worker) | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 99, Unknown | 88, Other",,,,,,,This refers to the location in which the patient conducts the majority of work related to their current occupation. ,Select the most appropriate option that represents the primary location of occupation.,,,,,risk_factor_socio,,1,,,,,1,
presentation,DEMOGRAPHICS,demog_occupation_oth,text,Specify other primary location of occupation,,,,,,[demog_occupation]='88',,This refers to the location in which the patient conducts the majority of work related to their current occupation. ,"If 'Other', specify the primary location of occupation.",,,,,risk_factor_socio,,1,,,,,1,
presentation,DEMOGRAPHICS,demog_residence,radio,Patient's city of residence,"1, Same as health care facility | 2, Different from health care facility | 99, Unknown",,,,,,,This refers to the city which a person dwells more than temporarily or lives permanently. ,"If the patient's city of residence is different to the city in which this healthcare facility is located, Specify the patient's region of residence below.",SNOMED,"433178008, City of residence (observable entity)","C2316883, City of residence",,risk_factor_socio,,1,,,,,1,
presentation,DEMOGRAPHICS,demog_residence_oth,text,"If different from health case facility, specify the patient's region of residence.",,,,,,[demog_residence]='2',,This refers to the city which a person dwells more than temporarily or lives permanently. ,"If 'Different from health case facility', specify the patient's region of residence.",SNOMED,"433178008, City of residence (observable entity)","C2316883, City of residence",,risk_factor_socio,,1,,,,,1,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_travel,radio,Did the patient travel outside of their home region in the past 14 days?,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to travel to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.","Indicate 'Yes', if the patient travelled to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.",SNOMED,"129018004, Traveling (observable entity)","C0040802, travel",,,,1,,,,,1,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_travel_loc,notes,specify all city / cities or town(s) and region(s) of travel,,,,,,[expo14_travel] = '1',,"This refers to all city / cities or town(s) and region(s), which the patient travelled to within 14 days before symptoms relating to the current illness began.","If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location(s) that were visited.",,,,,,,1,,,,,1,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_yn,radio,History of contact with suspected or confirmed human case of same pathogen?,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to the patient having a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).","Indicate 'Yes', if the patient has a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",,,,,,,,1,1,1,1,1,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typecomm,radio,Community contact ,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1',,This refers to the mode of exposure to a suspected or confirmed case. Community contact refers to exposure event outside of healthcare setting. ,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typevert,radio,Vertical transmission,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1' and ([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the mode of exposure to a suspected or confirmed case. Vertical transmission refers to transmission from mother-to-child. ,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typehcw,radio,Healthcare worker exposure,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1',,This refers to the mode of exposure to a suspected or confirmed case. Healthcare worker exposure refers to an exposure event in a healthcare setting.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typesext,radio,Sexual transmission,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1',,This refers to the mode of exposure to a suspected or confirmed case. Sexual transmission refers to infection propagated by sexual contact.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typefaml,radio,Family / household contacts,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1',,This refers to the mode of exposure to a suspected or confirmed case. Family / household contact refers to infection transmission from individuals who expect to share living accommodation on most days (and therefore for whom continuing close contact is unavoidable),Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typeschool,radio,Childcare settings/school exposures,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1',,This refers to the mode of exposure to a suspected or confirmed case occuring within childcare settings or school-related exposures.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,,,,,,,,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typeoth,radio,Other type of human exposure,"1, Yes | 0, No | 99, Unknown",,,,,[expo14_yn]='1',,This refers to other mode(s) of exposure to a suspected or confirmed case not specified above.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,SNOMED,"277057000, Community acquired (qualifier value) | 1290740005, Vertical transmission (qualifier value) | 8098009, Sexually transmitted infectious disease (disorder)","C5392207, Community Transmission | C0242648, Vertical Disease Transmission | C0036916, Sexually Transmitted Diseases",,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typeoth_spec,text,Specify other type of human exposure,,,,,,[expo14_typeoth]='1',,This refers to other mode(s) of exposure to a suspected or confirmed case not specified above.,"If 'Other', specify the mode of exposure to a suspected or confirmed case.",,,,,,,,1,1,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_date,date_dmy,Date of contact with suspected or confirmed case,,date_dmy,,today,,[expo14_yn]='1',,"This refers to the date of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",Write the date of contact with suspected or confirmed human case in format DD/MM/YYYY.,,,,,,,,1,1,1,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_setting,radio,Contact setting,"1, Household | 2, Occupational | 4, Healthcare facility | 99, Unknown | 88, Other",,,,,,,This refers to the environment within which the person may have come into contact with a suspected or confirmed case.,Select the most appropriate option that represents the contact setting with a confirmed or suspected human case.,,,,,,,,,,1,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_setting_oth,text,Specify other contact setting,,,,,,[expo14_setting]='88',,This refers to the environment within which the person may have come into contact with a suspected or confirmed case.,"If 'Other', specify the contact setting with a confirmed or suspected case.",,,,,,,,,,1,1,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_ancon,radio,"Any contact with animals, animal homes, meats or other animal products in the last 14 days?","1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Indicate 'Yes' if the patient was in contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.",,,,,,,,,,1,1,,
