Variable,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
readm_prevadm,O paciente foi internado anteriormente ou transferido de alguma outra unidade durante esse episódio de doença?,"1, SIM-admitido anteriormente nesta unidade e recebeu alta | 2, SIM-admitido em outra unidade e recebeu alta | 3, SIM-admitido em outra unidade e depois transferido para esta unidade | 0, Não | 99, Desconhecido",Isso se refere à admissão anterior em uma unidade de saúde ou transferência de outra unidade de saúde durante o episódio atual da doença.,Selecione a opção mais apropriada que represente se o paciente foi internado anteriormente ou transferido de qualquer outra unidade durante este episódio de doença.,,
readm_prevsite,Nome da unidade de transferência,,Isso se refere ao nome da unidade de onde o paciente foi admitido ou transferido anteriormente.,Insira o nome da unidade de onde o paciente foi admitido ou transferido anteriormente.,,
readm_numprev,Número total de internações anteriores por esta infecção,,Isso se refere ao número de vezes (por causa dessa infecção) que o paciente foi internado em uma unidade de saúde.,Indique o número de vezes (para esta infecção) que o paciente foi internado em uma unidade de saúde.,,
readm_firstadmdt,Data da primeira admissão para esta infecção,,"Isto se refere à data da primeira admissão para esta doença. Se o paciente foi primeiro 'admitido em outra unidade, depois transferido para esta unidade' registre a data em que o paciente foi admitido na outra unidade de saúde.",Escreva a data no formato DD/MM/AAAA.,,
readm_difpin,Os dados do paciente foram coletados anteriormente com um número de identificação de participante (PIN) diferente?,"1, Sim | 0, Não | 99, Desconhecido",,Indique 'Sim' se os dados do paciente foram coletados anteriormente com um número de identificação de participante (PIN) diferente,,
readm_prevpin,Número de identificação do participante anterior (PIN),,O Número de Identificação do Participante ou PIN é um número exclusivo usado para identificar os dados do paciente (participante).,Escreva o Número de Identificação do Participante (PIN).,,
readm_reas,O paciente está sendo readmitido com ou devido a infecção pelo patógeno de interesse?,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere à readmissão do paciente com ou devido à infecção pelo patógeno de interesse.,"Indique ""Sim"" se o paciente estiver sendo readmitido com ou devido a infecção pelo patógeno de interesse.",,
demog_sex,Sexo no nascimento,"1, Masculino | 2, Feminino | 88, Outro | 99, Não especificado/Desconhecido",Isso se refere às características sexuais físicas no nascimento.,Selecione a opção mais apropriada que representa as características sexuais físicas no nascimento.,,
demog_sex_oth,Se outro: especifique o sexo no nascimento,,Isso se refere às características sexuais físicas no nascimento.,"Se 'Outro', especifique as características sexuais físicas no nascimento.",,
demog_birthdate,Data de nascimento,,Isso se refere à data do calendário em que o paciente nasceu.,Registre a data de nascimento dos participantes no formato DD/MM/AAAA.,,
demog_gender,Gênero,"1, Homem | 2, Mulher | 3, Transgênero | 4, Não-binário | 88, Outro | 99, Desconhecido","Isso se refere ao senso interno de gênero de uma pessoa, que pode ou não corresponder ao sexo genotípico ou fenotípico do indivíduo.",Selecione a opção mais apropriada que represente a identidade de gênero do paciente.,,
demog_gender_oth,Se outro: especifique o gênero,,"Isso se refere ao senso interno de gênero de uma pessoa, que pode ou não corresponder ao sexo genotípico ou fenotípico do indivíduo.","Se 'Outro', especifique a identidade de gênero do paciente.",,
demog_age,Idade,,Isso se refere à idade do paciente.,"Para participantes com mais de dois anos, informe a idade em anos. Para crianças com menos de um ano, informe em meses. Para neonatos com menos de um mês, informe em dias.",,
demog_age_units,Unidades de idade,"1, Anos | 2, Meses | 3, Dias",Isso se refere à idade do paciente no momento da apresentação no estabelecimento de saúde.,Selecione as unidades mais apropriadas para a idade.,,
demog_country,País,,,Indique o país de inscrição,,
demog_height,Altura (selecione unidades),,Altura real ou estimativa mais próxima da altura no momento da admissão.,,,
demog_height_cm,Altura (cm),,"Isto se refere à distância da sola até o topo da cabeça com o corpo em pé sobre uma superfície plana e totalmente estendido, medido em centímetros. Para crianças menores de 2 anos, use o comprimento do corpo (medido enquanto deitado em decúbito dorsal).","Indique a altura do paciente em centímetros (cm). Para crianças menores de 2 anos, use comprimento.",,
demog_height_in,Altura (pol.),,"Isto se refere à distância da sola até o topo da cabeça com o corpo em pé sobre uma superfície plana e totalmente estendido, medido em polegadas. Para crianças menores de 2 anos, use o comprimento do corpo (medido enquanto deitado em decúbito dorsal).","Indique a altura do paciente em polegadas (in). Para crianças menores de 2 anos, use comprimento.",,
demog_weight,Peso (unidades selecionadas),,Peso real ou estimativa mais próxima do peso no momento da admissão.,,,
demog_weight_kg,Peso (kg),,"Isso se refere ao peso de um sujeito, expresso em quilogramas (kg).",Indique o peso do paciente em quilogramas (kg).,,
demog_weight_lb,Peso (lb),,"Isso se refere ao peso de um sujeito, expresso em libras (lb).",Indique o peso do paciente em libras (lb).,,
demog_race,Raça (selecione todas as opções aplicáveis),"1, Árabe | 2, Negro | 3, Leste Asiático | 4, Sul Asiático | 5, Sudeste Asiático | 6, Oeste Asiático | 7, Latino-americano | 8, Branco | 9, Aborígene/Primeiras Nações/Indígena | 88, Outro | 99, Desconhecido",Isso se refere a uma categoria de origem ancestral geográfica que é atribuída a um grupo populacional com base principalmente em características físicas que são consideradas distintas e inerentes.,Selecione todas as opções aplicáveis.,,
demog_race_other,Se outro: especifique a raça,,Isso se refere a uma categoria de origem ancestral geográfica que é atribuída a um grupo populacional com base principalmente em características físicas que são consideradas distintas e inerentes.,"Se for ""Outro"", especifique a raça.",,
demog_healthcare,Empregado como profissional de saúde,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere a um paciente que trabalha no setor de saúde.,Selecione a opção mais apropriada.,,
demog_healthcare_ptfacing,Voltado para o paciente,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere a um paciente empregado no setor de saúde, prestando cuidados em ambientes de atendimento ao paciente (ou seja, funções que envolvem interação direta com os pacientes).",Selecione a opção mais apropriada.,,
demog_healthcare_expbiosample,Exposto a amostras biológicas,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere a um paciente que trabalha no setor de saúde e presta cuidados em ambientes sem contato direto com o paciente, mas que é exposto a amostras biológicas (por exemplo, equipe de laboratório, manipuladores de resíduos médicos).",Selecione a opção mais apropriada.,,
demog_riskoccupa,Ocupação do paciente,,Isso se refere à atividade principal que uma pessoa realiza para ganhar a vida.,Selecione todas as opções aplicáveis.,,
demog_occupation,Localização primária de ocupação,"1, Trabalho em casa ou desempregado | 2, Em ambientes fechados - escritório/saúde/educação/hospitalidade/negócios/lares | 3, Em ambientes fechados - fábrica | 8, Em ambientes abertos - contato com animais (veterinário, criador de animais, trabalhador de matadouro) | 4, Em ambientes abertos - agricultura/silvicultura/pesca | 5, Em ambientes abertos - construção/industrial/mineração | 6, Forças Armadas | 7, Estudante | 88, Outro | 99, Desconhecido",Isso se refere ao local em que o paciente realiza a maior parte do trabalho relacionado à sua ocupação atual.,Selecione a opção mais apropriada que representa o local principal de ocupação.,,
demog_occupation_oth,Se outro: especifique o local principal de ocupação,,Isso se refere ao local em que o paciente realiza a maior parte do trabalho relacionado à sua ocupação atual.,"Se for ""Outro"", especifique o local principal de ocupação.",,
demog_residence,Cidade de residência do paciente,"1, Igual ao estabelecimento de saúde | 2, Diferente do estabelecimento de saúde | 99, Desconhecido",Isso se refere à cidade na qual uma pessoa mora mais do que temporariamente ou vive permanentemente.,"Se a cidade de residência do paciente for diferente da cidade em que esta unidade de saúde está localizada, especifique a região de residência do paciente abaixo.",,
demog_residence_oth,"Se for diferente do estabelecimento de saúde, especifique a região de residência do paciente.",,Isso se refere à cidade na qual uma pessoa mora mais do que temporariamente ou vive permanentemente.,"Se for ""Diferente do serviço de saúde"", especifique a região de residência do paciente.",,
travel_travel14d,O paciente viajou para fora de sua região de origem nos últimos 14 dias?,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere a viagens para outra cidade/vila ou região, outra parte do país ou para outro país dentro de 14 dias antes do início dos sintomas relacionados à doença atual.","Indique ""Sim"" se o paciente viajou para outra cidade/vila ou região, outra parte do país ou para outro país dentro de 14 dias antes do início dos sintomas relacionados à doença atual.",,
travel_loc,Se sim: especifique todas as cidades ou vilas e regiões de viagem,,Isso se refere a todas as cidades ou vilas e regiões para as quais o paciente viajou dentro de 14 dias antes do início dos sintomas relacionados à doença atual.,"Se o paciente viajou para longe de seu local de residência habitual dentro de 14 dias do início dos sintomas, insira o(s) local(ais) que foi(foram) visitado(s).",,
expo14_yn,Histórico de contato com caso humano suspeito ou confirmado do mesmo patógeno?,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere ao paciente ter histórico de contato com qualquer pessoa que apresente sintomas semelhantes ou com um caso confirmado conhecido, ou com material contaminado de um caso suspeito ou confirmado (por exemplo, fluidos corporais, objetos, roupas de cama etc.).","Indique ""Sim"" se o paciente tiver histórico de contato com alguém que apresente sintomas semelhantes ou com caso confirmado conhecido, ou com material contaminado de um caso suspeito ou confirmado (por exemplo, fluidos corporais, objetos, roupas de cama etc.).",,
expo14_typecomm,Contato com a comunidade,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao modo de exposição a um caso suspeito ou confirmado. Contato comunitário se refere ao evento de exposição fora do ambiente de assistência médica.,"Indique ""Sim"" se o paciente passou por esse modo de exposição a um caso humano suspeito ou confirmado.",,
expo14_typevert,Transmissão vertical,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao modo de exposição a um caso suspeito ou confirmado. Transmissão vertical se refere à transmissão de mãe para filho.,"Indique ""Sim"" se o paciente passou por esse modo de exposição a um caso humano suspeito ou confirmado.",,
expo14_typehcw,Exposição do trabalhador da saúde,"1, Sim | 0, Não | 99, Desconhecido",Isto se refere ao modo de exposição a um caso suspeito ou confirmado. A exposição do trabalhador da saúde se refere a um evento de exposição em um ambiente de saúde.,"Indique ""Sim"" se o paciente passou por esse modo de exposição a um caso humano suspeito ou confirmado.",,
expo14_typesext,Transmissão sexual,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao modo de exposição a um caso suspeito ou confirmado. Transmissão sexual se refere à infecção propagada por contato sexual.,"Indique ""Sim"" se o paciente passou por esse modo de exposição a um caso humano suspeito ou confirmado.",,
expo14_typefaml,Contatos familiares/domésticos,"1, Sim | 0, Não | 99, Desconhecido","Isto se refere ao modo de exposição a um caso suspeito ou confirmado. Contato familiar/domiciliar se refere à transmissão de infecção de indivíduos que esperam compartilhar acomodações na maioria dos dias (e, portanto, para quem o contato próximo contínuo é inevitável)","Indique ""Sim"" se o paciente passou por esse modo de exposição a um caso humano suspeito ou confirmado.",,
expo14_typeoth,Outro tipo de exposição humana,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere a outros modos de exposição a um caso suspeito ou confirmado não especificados acima.,"Indique ""Sim"" se o paciente passou por esse modo de exposição a um caso humano suspeito ou confirmado.",,
expo14_typeoth_other,Se outro: especifique o tipo de exposição humana,,Isso se refere a outros modos de exposição a um caso suspeito ou confirmado não especificados acima.,"Se for ""Outro"", especifique o modo de exposição a um caso suspeito ou confirmado.",,
expo14_date,Data do contato com caso suspeito ou confirmado,,"Isso se refere à data de contato com qualquer pessoa que apresente sintomas semelhantes ou com um caso confirmado conhecido, ou com material contaminado de um caso suspeito ou confirmado (por exemplo, fluidos corporais, objetos, roupas de cama etc.).",Escreva a data do contato com o caso humano suspeito ou confirmado no formato DD/MM/AAAA.,,
expo14_setting,Configuração de contato,"1, Domicílio | 2, Ocupacional | 4, Estabelecimento de saúde | 88, Outro | 99, Desconhecido",Isso se refere ao ambiente no qual a pessoa pode ter entrado em contato com um caso suspeito ou confirmado.,Selecione a opção mais apropriada que representa o cenário de contato com um caso humano confirmado ou suspeito.,,
expo14_setting_oth,Se outro: especifique a configuração de contato,,Isso se refere ao ambiente no qual a pessoa pode ter entrado em contato com um caso suspeito ou confirmado.,"Se for ""Outro"", especifique a configuração de contato com um caso confirmado ou suspeito.",,
expo14_animalcon,"Teve algum contato com animais, lares de animais, carnes ou outros produtos de origem animal nos últimos 14 dias?","1, Sim | 0, Não | 99, Desconhecido","Isso se refere ao contato com animais, lares de animais, carnes ou outros produtos de origem animal que ocorreu nos últimos 14 dias.","Indique 'Sim' se o paciente teve contato com animais, lares de animais, carnes ou outros produtos de origem animal nos últimos 14 dias.",,
expo14_animalcon_date,Data de contato com fonte animal suspeita ou confirmada,,"Isso se refere à data de contato com animais, lares de animais, carnes ou outros produtos de origem animal que ocorreu nos últimos 14 dias.","Escreva a data do contato com animais, lares de animais, carnes ou outros produtos de origem animal que ocorreu nos últimos 14 dias, no formato DD/MM/AAAA.",,
expo14_animalcon_livestock,Contato com o gado,,,,,
expo14_animalcon_livestockyn,Contato com o gado,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere ao contato com aves vivas (por exemplo, galinhas, perus, patos) que ocorreu nos últimos 14 dias.","Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_livestockbird,"Se sim para contato com gado: Contato com aves (por exemplo, galinhas, perus, patos)","1, Sim | 0, Não | 99, Desconhecido","Isso se refere ao contato com aves vivas (por exemplo, galinhas, perus, patos) que ocorreu nos últimos 14 dias.","Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_livestockcow,Se sim para contato com gado: Contato com vacas leiteiras e/ou equipamentos de ordenha,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com vacas leiteiras e/ou equipamentos de ordenha que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_livestockothercow,Se sim para contato com gado: Contato com gado que não seja vaca leiteira,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com gado que não seja vaca leiteira que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_livestockpig,Se sim para contato com gado: Contato com porcos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com porcos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_livestocktype,Se sim para contato com gado: Especifique o tipo de contato,"1, Caça | 2, Preparação | 3, Manuseio | 4, Consumo (não processado / mal cozido / cru) | 5, Comércio | 6, Fezes ou ninhos de animais | 7, Animal doente ou morto | 88, Outro | 99, Desconhecido","Isto se refere ao(s) tipo(s) de contato animal que ocorreu(ram) nos últimos 14 dias. Caça inclui encontrar ou matar animal(ais) para alimentação ou esporte. Preparação inclui esfolar, preparar ou abater animal(ais) para consumo. Manuseio inclui tocar, acariciar ou compartilhar área de convivência com animal(ais). Consumo inclui ingestão de parte(s) animal(ais) não processada(s), mal cozida(s) ou crua(s). Negociação inclui contato animal por meio da venda, compra ou troca de animal(ais). Fezes ou ninhos de animais inclui contato com fezes, ninhos ou casas de animal(ais). Animais doentes ou mortos se refere ao contato com um animal doente ou morto, mas não à participação em cirurgia animal ou nercopsia (pergunta separada).",Selecione todos os tipos de contato com animais que ocorreram nos últimos 14 dias.,,
expo14_animalcon_nhprim,Contato com primatas não humanos,,,,,
expo14_animalcon_nhprimyn,Contato com primatas não humanos,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere ao contato com primatas não humanos (um grupo de mamíferos composto por símios, macacos e símios e prossímios, como lêmures) que ocorreu nos últimos 14 dias.","Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_nhprimmonkeys,Se sim para contato com primatas não humanos: Contato com macacos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com macacos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_nhprimapes,Se sim para contato com primatas não humanos: Contato com macacos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com macacos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_nhprimtype,Se sim para contato com primatas não humanos: especifique o tipo de contato,"1, Caça | 2, Preparação | 3, Manuseio | 4, Consumo (não processado / mal cozido / cru) | 5, Comércio | 6, Fezes ou ninhos de animais | 7, Animal doente ou morto | 88, Outro | 99, Desconhecido","Isto se refere ao(s) tipo(s) de contato animal que ocorreu(ram) nos últimos 14 dias. Caça inclui encontrar ou matar animal(ais) para alimentação ou esporte. Preparação inclui esfolar, preparar ou abater animal(ais) para consumo. Manuseio inclui tocar, acariciar ou compartilhar área de convivência com animal(ais). Consumo inclui ingestão de parte(s) animal(ais) não processada(s), mal cozida(s) ou crua(s). Negociação inclui contato animal por meio da venda, compra ou troca de animal(ais). Fezes ou ninhos de animais inclui contato com fezes, ninhos ou casas de animal(ais). Animais doentes ou mortos se refere ao contato com um animal doente ou morto, mas não à participação em cirurgia animal ou nercopsia (pergunta separada).",Selecione todos os tipos de contato com animais que ocorreram nos últimos 14 dias.,,
expo14_animalcon_rodent,Contato com roedores,,,,,
expo14_animalcon_rodentyn,Contato com roedores,"1, Sim | 0, Não | 99, Desconhecido","Isso se refere ao contato com roedores (por exemplo, ratos, camundongos, esquilos) que ocorreu nos últimos 14 dias.","Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_rodentrat,Se sim ao contato com roedores: Contato com ratos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com ratos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_rodentmice,Se sim ao contato com roedores: Contato com ratos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com ratos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_rodentsquirrel,Se sim ao contato com roedores: Contato com esquilos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com esquilos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_rodenttype,Se sim para contato com roedores: Especifique o tipo de contato,"1, Caça | 2, Preparação | 3, Manuseio | 4, Consumo (não processado / mal cozido / cru) | 5, Comércio | 6, Fezes ou ninhos de animais | 7, Animal doente ou morto | 88, Outro | 99, Desconhecido","Isto se refere ao(s) tipo(s) de contato animal que ocorreu(ram) nos últimos 14 dias. Caça inclui encontrar ou matar animal(ais) para alimentação ou esporte. Preparação inclui esfolar, preparar ou abater animal(ais) para consumo. Manuseio inclui tocar, acariciar ou compartilhar área de convivência com animal(ais). Consumo inclui ingestão de parte(s) animal(ais) não processada(s), mal cozida(s) ou crua(s). Negociação inclui contato animal por meio da venda, compra ou troca de animal(ais). Fezes ou ninhos de animais inclui contato com fezes, ninhos ou casas de animal(ais). Animais doentes ou mortos se refere ao contato com um animal doente ou morto, mas não à participação em cirurgia animal ou nercopsia (pergunta separada).",Selecione todos os tipos de contato com animais que ocorreram nos últimos 14 dias.,,
expo14_animalcon_pets,Contato com animais de estimação,,,,,
expo14_animalcon_petsyn,Contato com animais de estimação,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com animais de estimação (excluindo roedores) que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_petscats,Se sim para contato com animais de estimação: Contato com gatos,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com gatos que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
expo14_animalcon_petsdogs,Se sim para contato com animais de estimação: Contato com cães,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere ao contato com cães que ocorreu nos últimos 14 dias.,"Indique ""Sim"" se o paciente apresentou isso nos últimos 14 dias.",,
