Variable,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
inclu_consentsecsamp_gen,"Uso futuro de muestras genéticas seudonimizadas en investigaciones éticamente aprobadas, incluidas investigaciones en otros países","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras genéticas seudonimizadas en investigaciones éticamente aprobadas, incluidas las investigaciones en otros países.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el CRF restante.,,
inclu_consentcont,Contacto,,,,,
inclu_consentcont_nstudy,"Ser contactado para participar en trabajos futuros, incluidos estudios de investigación.","1, Sí | 0, No","Se refiere al contacto para ser contactado para participar en trabajos futuros, incluidos estudios de investigación.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el CRF restante.,,
dates_onsetdate,Fecha de aparición del primer síntoma/síntoma más temprano,,Se refiere a la fecha de aparición del primer síntoma/síntoma más temprano que está clínicamente relacionado con el episodio actual de enfermedad.,Proporcione la fecha del primer síntoma que cree clínicamente que estuvo relacionado con este episodio de enfermedad en formato DD/MM/AAAA.,,
dates_firstsym,Síntoma(s) durante las primeras 24 horas de enfermedad (seleccione todas las que correspondan),,Esto se refiere al primer síntoma o síntomas (si ocurrieron varios al mismo tiempo) que usted cree clínicamente que estuvieron relacionados con este episodio de enfermedad.,Seleccione todos los síntomas que experimentó el paciente durante las primeras 24 horas de enfermedad (seleccione todas las que correspondan).,,
dates_consult,Fecha de la primera consulta clínica,,Se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de enfermedad.,Proporcione la fecha de la primera consulta clínica relacionada con el episodio actual de enfermedad en formato DD/MM/AAAA.,,
dates_adm,Ingresado en el hospital,"1, Sí | 0, No | 99, Desconocido",Se refiere al ingreso del paciente a su centro por la enfermedad actual.,"Indique “Sí”, si ese paciente fue admitido en su sitio.",,
dates_adm_reas,Motivo de la hospitalización,,Se refiere al motivo (indicación) de la hospitalización.,"En caso afirmativo, especifique el motivo (indicación) de la hospitalización.",,
dates_admdate,Fecha de ingreso hospitalario,,Se refiere a la fecha de hospitalización/ingreso del paciente en su centro por la enfermedad actual.,Ingrese la fecha de hospitalización/ingreso en su sitio (en formato DD/MM/AAAA).,,
dates_admtime,Hora de ingreso hospitalario,,Se refiere al ingreso del paciente a su centro por la enfermedad actual.,Ingrese la hora de ingreso a su sitio en formato de 24 horas (00:00 - 24:00 horas).,,
dates_enrolment,Fecha de inscripción / inicio de la recogida de datos,,Se refiere a la fecha de inscripción/inicio de la recogida de datos.,Ingrese la fecha de inscripción del paciente al estudio en el formato día/mes/año (DD/MM/AAAA).,,
readm_prevadm,¿El paciente fue admitido previamente o transferido desde alguna otra instalación durante este episodio de enfermedad?,"1, SÍ-ingresado previamente en este centro y dado de alta | 2, SÍ-ingresado en otro centro y dado de alta | 3, SÍ-ingresado en otro centro, luego transferido a este centro | 0, No | 99, Desconocido",Se refiere a un ingreso previo a un centro de salud o a un traslado desde otro centro de salud durante el episodio actual de enfermedad.,Seleccione la opción más apropiada que represente si el paciente fue admitido previamente o transferido desde cualquier otra instalación durante este episodio de enfermedad.,,
readm_prevsite,Nombre de la instalación de transferencia,,Esto se refiere al nombre de la instalación desde la cual el paciente fue admitido o transferido previamente.,Ingrese el nombre del establecimiento desde el cual el paciente fue admitido o transferido previamente.,,
readm_numprev,Número total de ingresos previos por esta infección,,Se refiere al número de veces que el paciente ha sido ingresado en un centro de salud por esta infección.,Indique el número de veces (por esta infección) que el paciente ha sido ingresado en un establecimiento de salud.,,
readm_firstadmdt,Fecha del primer ingreso por esta infección,,"Se refiere a la fecha de la primera admisión por esta enfermedad. Si el paciente fue primero ""admitido en otro centro y luego transferido a este centro"", registre la fecha en que el paciente fue admitido en el otro centro de salud.",Escriba la fecha en formato DD/MM/AAAA.,,
readm_difpin,¿Los datos del paciente se han recopilado previamente con un número de identificación de participante (PIN) diferente?,"1, Sí | 0, No | 99, Desconocido",,Indique 'Sí' si los datos del paciente han sido recopilados previamente bajo un número de identificación de participante (PIN) diferente,,
readm_prevpin,Número de identificación del participante anterior (PIN),,El Número de Identificación del Participante o PIN es un número único utilizado para identificar los datos del paciente (participante).,Escriba el Número de Identificación del Participante (PIN).,,
readm_reas,¿El paciente está siendo readmitido con o debido a una infección con el patógeno de interés?,"1, Sí | 0, No | 99, Desconocido",Se refiere al reingreso del paciente con o debido a una infección con el patógeno de interés.,Indique “Sí” si el paciente está siendo readmitido con o debido a una infección con el patógeno de interés.,,
demog_sex,Sexo al nacer,"1, Masculino | 2, Femenino | 88, Otro | 99, No especificado/Desconocido",Se refiere a las características sexuales físicas al nacer.,Seleccione la opción más adecuada que represente las características sexuales físicas al nacer.,,
demog_sex_oth,Si es otro: especifique el sexo al nacer,,Se refiere a las características sexuales físicas al nacer.,"Si es 'Otro', especifique las características sexuales físicas al nacer.",,
demog_birthdate,Fecha de nacimiento,,Esto se refiere a la fecha del calendario en la que nació el paciente.,Registre la fecha de nacimiento de los participantes en formato DD/MM/AAAA.,,
demog_gender,Género,"1, Hombre | 2, Mujer | 3, Transgénero | 4, No binario | 88, Otro | 99, Desconocido","Esto se refiere al sentido interno que una persona tiene de su género, que puede corresponder o no con el sexo genotípico o fenotípico del individuo.",Seleccione la opción más adecuada que represente la identidad de género del paciente.,,
demog_gender_oth,Si es otro: especifique el género,,"Esto se refiere al sentido interno que una persona tiene de su género, que puede corresponder o no con el sexo genotípico o fenotípico del individuo.","Si es “Otro”, especifique la identidad de género del paciente.",,
demog_age,Edad,,Esto se refiere a la edad del paciente.,"En el caso de los participantes mayores de dos años, indique la edad en años. En el caso de los niños menores de un año, indique la edad en meses. En el caso de los neonatos menores de un mes, indique la edad en días.",,
demog_age_units,Unidades de edad,"1, Años | 2, Meses | 3, Días",Se refiere a la edad del paciente al momento de presentarse en el centro de salud.,Seleccione las unidades más apropiadas para la edad.,,
demog_country,País,,,Indique el país de matriculación,,
demog_height,Altura (seleccionar unidades),,Estimación real o más cercana a la altura en el momento del ingreso.,,,
demog_height_cm,Altura (cm),,"Se refiere a la distancia desde la planta del pie hasta la coronilla de la cabeza con el cuerpo de pie sobre una superficie plana y totalmente extendido, medida en centímetros. Para niños menores de 2 años, utilice la longitud del cuerpo (medida en posición supina).","Indicar la altura del paciente en centímetros (cm). Para niños menores de 2 años, utilizar la longitud.",,
demog_height_in,Altura (pulgadas),,"Se refiere a la distancia desde la planta del pie hasta la coronilla de la cabeza con el cuerpo de pie sobre una superficie plana y totalmente extendido, medida en pulgadas. Para niños menores de 2 años, utilice la longitud del cuerpo (medida en posición supina).","Indique la altura del paciente en pulgadas (in). Para niños menores de 2 años, utilice la longitud.",,
demog_weight,Peso (seleccionar unidades),,Peso real o estimación más cercana al peso en el momento del ingreso.,,,
demog_weight_kg,Peso (kg),,"Se refiere al peso de un sujeto, expresado en kilogramos (kg).",Indique el peso del paciente en kilogramos (kg).,,
demog_weight_lb,Peso (lb),,"Esto se refiere al peso de un sujeto, expresado en libras (lb).",Indique el peso del paciente en libras (lb).,,
demog_race,Raza (seleccione todas las opciones que correspondan),"1, árabe | 2, negro | 3, asiático oriental | 4, asiático meridional | 5, asiático sudoriental | 6, asiático occidental | 7, latinoamericano | 8, blanco | 9, aborigen/primeras naciones/indígena | 88, otro | 99, desconocido",Se refiere a una categoría de origen ancestral geográfico que se asigna a un grupo de población basándose principalmente en características físicas que se consideran distintas e inherentes.,Seleccione todas las opciones que correspondan.,,
demog_race_other,Si es otra: especifique la raza,,Se refiere a una categoría de origen ancestral geográfico que se asigna a un grupo de población basándose principalmente en características físicas que se consideran distintas e inherentes.,"Si es 'Otro', especifique la raza.",,
demog_healthcare,Empleado como trabajador de la salud,"1, Sí | 0, No | 99, Desconocido",Esto se refiere a un paciente que trabaja en el sector sanitario.,Seleccione la opción más adecuada.,,
demog_healthcare_ptfacing,Orientado al paciente,"1, Sí | 0, No | 99, Desconocido","Esto se refiere a un paciente que trabaja en la industria de la salud y brinda atención en entornos de contacto directo con pacientes (es decir, roles que implican interacción directa con los pacientes).",Seleccione la opción más adecuada.,,
demog_healthcare_expbiosample,Expuesto a muestras biológicas,"1, Sí | 0, No | 99, Desconocido","Esto se refiere a un paciente que trabaja en la industria de la salud y brinda atención en entornos en los que no hay contacto directo con los pacientes, pero que está expuesto a muestras biológicas (por ejemplo, personal de laboratorio, manipuladores de desechos médicos).",Seleccione la opción más adecuada.,,
demog_riskoccupa,Ocupación del paciente,,Se refiere a la actividad principal que realiza una persona para ganarse la vida.,Seleccione todas las opciones que correspondan.,,
demog_occupation,Ubicación principal de la ocupación,"1, Trabajo desde casa o desempleado | 2, Interior: oficina, salud, educación, hostelería, empresa, hogar | 3, Interior: fábrica | 8, Exterior: contacto con animales (veterinario, ganadero, trabajador de matadero) | 4, Exterior: agricultura, silvicultura, pesca | 5, Exterior: construcción, industria, minería | 6, Fuerzas Armadas | 7, Estudiante | 88, Otro | 99, Desconocido",Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,Seleccione la opción más apropiada que represente la ubicación principal de ocupación.,,
demog_occupation_oth,Si es otro: especifique la ubicación principal de la ocupación,,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,"Si es “Otro”, especifique la ubicación principal de la ocupación.",,
demog_residence,Ciudad de residencia del paciente,"1, Igual que el centro de atención de salud | 2, Diferente del centro de atención de salud | 99, Desconocido",Se refiere a la ciudad en la que una persona reside más que temporalmente o vive permanentemente.,"Si la ciudad de residencia del paciente es diferente a la ciudad en la que se encuentra este centro de atención médica, especifique la región de residencia del paciente a continuación.",,
demog_residence_oth,"Si es diferente del establecimiento de salud donde se encuentra el paciente, especifique la región de residencia del paciente.",,Se refiere a la ciudad en la que una persona reside más que temporalmente o vive permanentemente.,"Si es 'Distinto del establecimiento de salud', especifique la región de residencia del paciente.",,
travel_travel14d,¿El paciente viajó fuera de su región de origen en los últimos 14 días?,"1, Sí | 0, No | 99, Desconocido","Se refiere a viajar a otra ciudad/pueblo o región, a otra parte del país o al extranjero a otro país dentro de los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.","Indique “Sí”, si el paciente viajó a otra ciudad/pueblo o región, a otra parte del país o al extranjero a otro país dentro de los 14 días antes de que comenzaran los síntomas relacionados con la enfermedad actual.",,
travel_loc,En caso afirmativo: especifique todas las ciudades o pueblos y regiones de viaje.,,Esto se refiere a todas las ciudades o pueblos y regiones a los que el paciente viajó dentro de los 14 días antes de que comenzaran los síntomas relacionados con la enfermedad actual.,"Si el paciente ha viajado fuera de su lugar de residencia habitual dentro de los 14 días posteriores al inicio de los síntomas, ingrese el o los lugares que visitó.",,
expo14_yn,¿Historial de contacto con caso humano sospechoso o confirmado del mismo patógeno?,"1, Sí | 0, No | 99, Desconocido","Esto se refiere a que el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).","Indique “Sí” si el paciente tiene antecedentes de contacto con alguien que presenta síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",,
expo14_typecomm,Contacto con la comunidad,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto comunitario se refiere a un evento de exposición fuera del ámbito de atención médica.,Indique “Sí” si el paciente experimentó este modo de exposición a un caso humano sospechoso o confirmado.,,
expo14_typevert,Transmisión vertical,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión vertical se refiere a la transmisión de madre a hijo.,Indique “Sí” si el paciente experimentó este modo de exposición a un caso humano sospechoso o confirmado.,,
expo14_typehcw,Exposición del personal sanitario,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La exposición de un trabajador de la salud se refiere a un evento de exposición en un entorno de atención médica.,Indique “Sí” si el paciente experimentó este modo de exposición a un caso humano sospechoso o confirmado.,,
expo14_typesext,Transmisión sexual,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión sexual se refiere a la infección propagada por contacto sexual.,Indique “Sí” si el paciente experimentó este modo de exposición a un caso humano sospechoso o confirmado.,,
expo14_typefaml,Contactos familiares/domésticos,"1, Sí | 0, No | 99, Desconocido","Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto familiar o doméstico se refiere a la transmisión de la infección entre personas que esperan compartir el alojamiento la mayoría de los días (y, por lo tanto, para quienes es inevitable mantener un contacto cercano continuo).",Indique “Sí” si el paciente experimentó este modo de exposición a un caso humano sospechoso o confirmado.,,
expo14_typeoth,Otro tipo de exposición humana,"1, Sí | 0, No | 99, Desconocido",Esto se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,Indique “Sí” si el paciente experimentó este modo de exposición a un caso humano sospechoso o confirmado.,,
expo14_typeoth_other,Si hay otro: especifique el tipo de exposición humana,,Esto se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,"Si es “Otro”, especifique el modo de exposición a un caso sospechoso o confirmado.",,
expo14_date,Fecha de contacto con caso sospechoso o confirmado,,"Se refiere a la fecha de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",Escriba la fecha de contacto con el caso humano sospechoso o confirmado en formato DD/MM/AAAA.,,
expo14_setting,Configuración de contacto,"1, Hogar | 2, Ocupacional | 4, Centro de salud | 88, Otro | 99, Desconocido",Se refiere al entorno en el que la persona pudo haber entrado en contacto con un caso sospechoso o confirmado.,Seleccione la opción más adecuada que represente el entorno de contacto con un caso humano confirmado o sospechoso.,,
expo14_setting_oth,Si es otro: especifique la configuración del contacto,,Se refiere al entorno en el que la persona pudo haber entrado en contacto con un caso sospechoso o confirmado.,"Si es 'Otro', especifique la configuración de contacto con un caso confirmado o sospechoso.",,
expo14_animalcon,"¿Algún contacto con animales, hogares de animales, carnes u otros productos animales en los últimos 14 días?","1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con animales, casas de animales, carnes u otros productos animales ocurrido en los últimos 14 días.","Indique “Sí” si el paciente estuvo en contacto con animales, casas de animales, carnes u otros productos animales durante los últimos 14 días.",,
expo14_animalcon_date,Fecha de contacto con la fuente animal sospechosa o confirmada,,"Se refiere a la fecha de contacto con animales, casas de animales, carnes u otros productos animales que ocurrió en los últimos 14 días.","Escriba la fecha de contacto con animales, hogares de animales, carnes u otros productos animales ocurrido en los últimos 14 días, en formato DD/MM/AAAA.",,
expo14_animalcon_livestock,Contacto con ganado,,,,,
expo14_animalcon_livestockyn,Contacto con ganado,"1, Sí | 0, No | 99, Desconocido","Esto se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que ocurrió en los últimos 14 días.",Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_livestockbird,"En caso afirmativo al contacto con ganado: Contacto con aves de corral (por ejemplo, pollos, pavos, patos)","1, Sí | 0, No | 99, Desconocido","Esto se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que ocurrió en los últimos 14 días.",Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_livestockcow,En caso afirmativo al contacto con ganado: Contacto con vacas lecheras y/o equipos de ordeño,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con vacas lecheras y/o equipos de ordeño ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_livestockothercow,En caso afirmativo al contacto con ganado: Contacto con ganado que no sea vaca lechera,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con ganado que no sea vaca lechera ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_livestockpig,En caso afirmativo al contacto con ganado: Contacto con cerdos,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con cerdos ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_livestocktype,"En caso afirmativo, sobre el contacto con ganado: especifique el tipo de contacto","1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar/poco cocinado/crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 88, Otros | 99, Desconocido","Se refiere al tipo de contacto con animales que se produjo en los últimos 14 días. La caza incluye el hallazgo o la matanza de animales para consumo o deporte. La preparación incluye desollar, descuartizar o trozar animales para el consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales no procesadas, poco cocidas o crudas. El comercio incluye el contacto con animales mediante la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o casas de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía animal o necropsia (pregunta aparte).",Seleccione todos los tipos de contacto con animales que ocurrieron en los últimos 14 días.,,
expo14_animalcon_nhprim,Contacto con primates no humanos,,,,,
expo14_animalcon_nhprimyn,Contacto con primates no humanos,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con primates no humanos (un grupo de mamíferos compuesto por simios, monos y simios y prosimios, como los lémures) ocurrido en los últimos 14 días.",Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_nhprimmonkeys,"Si es así, el contacto con primates no humanos: Contacto con monos","1, Sí | 0, No | 99, Desconocido",Esto se refiere al contacto con monos ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_nhprimapes,"Si es así, el contacto con primates no humanos: Contacto con simios","1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con simios ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_nhprimtype,En caso afirmativo al contacto con primates no humanos: especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar/poco cocinado/crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 88, Otros | 99, Desconocido","Se refiere al tipo de contacto con animales que se produjo en los últimos 14 días. La caza incluye el hallazgo o la matanza de animales para consumo o deporte. La preparación incluye desollar, descuartizar o trozar animales para el consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales no procesadas, poco cocidas o crudas. El comercio incluye el contacto con animales mediante la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o casas de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía animal o necropsia (pregunta aparte).",Seleccione todos los tipos de contacto con animales que ocurrieron en los últimos 14 días.,,
expo14_animalcon_rodent,Contacto con roedores,,,,,
expo14_animalcon_rodentyn,Contacto con roedores,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con roedores (por ejemplo, ratas, ratones, ardillas) ocurrido en los últimos 14 días.",Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_rodentrat,En caso afirmativo al contacto con roedores: Contacto con ratas,"1, Sí | 0, No | 99, Desconocido",Esto se refiere al contacto con ratas ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_rodentmice,En caso afirmativo al contacto con roedores: Contacto con ratones,"1, Sí | 0, No | 99, Desconocido",Esto se refiere al contacto con ratones que ocurrió en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_rodentsquirrel,En caso afirmativo al contacto con roedores: Contacto con ardillas,"1, Sí | 0, No | 99, Desconocido",Esto se refiere al contacto con ardillas ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_rodenttype,En caso afirmativo al contacto con roedores: especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar/poco cocinado/crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 88, Otros | 99, Desconocido","Se refiere al tipo de contacto con animales que se produjo en los últimos 14 días. La caza incluye el hallazgo o la matanza de animales para consumo o deporte. La preparación incluye desollar, descuartizar o trozar animales para el consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales no procesadas, poco cocidas o crudas. El comercio incluye el contacto con animales mediante la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o casas de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía animal o necropsia (pregunta aparte).",Seleccione todos los tipos de contacto con animales que ocurrieron en los últimos 14 días.,,
expo14_animalcon_pets,Contacto con mascotas,,,,,
expo14_animalcon_petsyn,Contacto con mascotas,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con animales domésticos (excluidos los roedores) ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_petscats,Si es así al contacto con mascotas: Contacto con gatos,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con gatos ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_petsdogs,Si es así al contacto con mascotas: Contacto con perros,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con perros ocurrido en los últimos 14 días.,Indique “Sí” si el paciente experimentó esto en los últimos 14 días.,,
expo14_animalcon_petstype,En caso afirmativo al contacto con mascotas: especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar/poco cocinado/crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 88, Otros | 99, Desconocido","Se refiere al tipo de contacto con animales que se produjo en los últimos 14 días. La caza incluye el hallazgo o la matanza de animales para consumo o deporte. La preparación incluye desollar, descuartizar o trozar animales para el consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales no procesadas, poco cocidas o crudas. El comercio incluye el contacto con animales mediante la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o casas de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía animal o necropsia (pregunta aparte).",Seleccione todos los tipos de contacto con animales que ocurrieron en los últimos 14 días.,,
