Variable,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
inclu_consentsec_rsch,"Utilisation future de données pseudonymisées dans le cadre de recherches approuvées sur le plan éthique, y compris dans le cadre de recherches menées dans d’autres pays","1, Oui | 0, Non",Fait référence au consentement pour une future utilisation secondaire de données pseudonymisées dans le cadre de recherches approuvées sur le plan éthique,Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
inclu_consentsec_prod,"Utilisation future de données pseudonymisées pour fabriquer des tests, des traitements ou d’autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à une future utilisation secondaire de données pseudonymisées pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux",Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
inclu_consentsec_gen,"Utilisation future de données génétiques pseudonymisées dans le cadre de recherches approuvées sur le plan éthique, y compris dans le cadre de recherches menées dans d’autres pays","1, Oui | 0, Non",Fait référence au consentement pour une future utilisation secondaire de données génétiques pseudonymisées dans le cadre de recherches approuvées sur le plan éthique,Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
inclu_consentsecsamp,"Utilisation secondaire des échantillons collectés, le participant a accepté les affirmations suivantes :",,,,,
inclu_consentsecsamp_rsch,"Utilisation future d’échantillons pseudonymisés dans le cadre de recherches approuvées sur le plan éthique, y compris dans le cadre de recherches menées dans d’autres pays","1, Oui | 0, Non","Fait référence au consentement pour une future utilisation secondaire d'échantillons pseudonymisés dans le cadre de recherches approuvées sur le plan éthique, y compris des recherches menées dans d'autres pays",Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
inclu_consentsecsamp_prod,"Utilisation future d'échantillons ou de matériaux pseudonymisés ou de données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à une utilisation secondaire future d'échantillons ou de matériaux pseudonymisés ou de données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux",Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
inclu_consentsecsamp_gen,"Utilisation future d’échantillons génétiques pseudonymisés dans le cadre de recherches approuvées sur le plan éthique, y compris dans le cadre de recherches menées dans d’autres pays","1, Oui | 0, Non","Fait référence au consentement pour une future utilisation secondaire d'échantillons génétiques pseudonymisés dans le cadre de recherches approuvées sur le plan éthique, y compris des recherches menées dans d'autres pays",Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
inclu_consentcont,Contact,,,,,
inclu_consentcont_nstudy,"Être contacté pour participer à des travaux futurs, y compris des études de recherche","1, Oui | 0, Non","Désigne le contact à contacter pour participer à des travaux futurs, y compris des études de recherche",Il s’agit d’une question de consentement facultative et elle n’est pas requise pour compléter le reste du CRF.,,
dates_onsetdate,Date d'apparition du premier symptôme,,Il s’agit de la date d’apparition du premier symptôme cliniquement lié à l’épisode actuel de la maladie.,Indiquez la date du premier symptôme que vous croyez cliniquement lié à cet épisode de maladie au format JJ/MM/AAAA.,,
dates_firstsym,Symptôme(s) au cours des 24 premières heures de la maladie (sélectionnez toutes les réponses applicables),,"Il s’agit du premier symptôme, ou des premiers symptômes (si plusieurs sont survenus en même temps), que vous croyez cliniquement être liés à cet épisode de maladie.",Sélectionnez tous les symptômes que le patient a ressentis au cours des 24 premières heures de la maladie (sélectionnez toutes les réponses applicables).,,
dates_consult,Date de la première consultation clinique,,Il s’agit de la date de la première consultation clinique liée à l’épisode actuel de la maladie.,Indiquez la date de la première consultation clinique liée à l’épisode actuel de la maladie au format JJ/MM/AAAA.,,
dates_adm,Admis à l'hôpital,"1, Oui | 0, Non | 99, Inconnu",Il s’agit de l’admission du patient dans votre établissement pour la maladie actuelle.,Indiquez « Oui » si ce patient a été admis sur votre site.,,
dates_adm_reas,Motif de l'hospitalisation,,Il s’agit du motif (indication) de l’hospitalisation.,"Si « Oui », précisez le motif (indication) de l’hospitalisation.",,
dates_admdate,Date d'admission à l'hôpital,,Il s'agit de la date d'hospitalisation/d'admission du patient dans votre établissement pour la maladie actuelle.,Saisissez la date d'hospitalisation / d'admission dans votre établissement (au format JJ/MM/AAAA).,,
dates_admtime,Heure d'admission à l'hôpital,,Il s’agit de l’admission du patient dans votre établissement pour la maladie actuelle.,Saisissez l'heure d'entrée sur votre site au format 24 heures (00:00 - 24:00 heures).,,
dates_enrolment,Date d'inscription / début de la collecte des données,,Il s'agit de la date d'inscription / de début de la collecte de données.,Saisissez la date d’inscription du patient à l’étude au format jour/mois/année (JJ/MM/AAAA).,,
readm_prevadm,Le patient a-t-il été admis précédemment ou transféré d’un autre établissement au cours de cet épisode de maladie ?,"1, OUI - admis précédemment dans cet établissement et renvoyé | 2, OUI - admis dans un autre établissement et renvoyé | 3, OUI - admis dans un autre établissement, puis transféré dans cet établissement | 0, Non | 99, Inconnu",Il s’agit d’une admission antérieure dans un établissement de santé ou d’un transfert depuis un autre établissement de santé au cours de l’épisode actuel de la maladie.,Sélectionnez l’option la plus appropriée qui indique si le patient a été admis précédemment ou transféré d’un autre établissement au cours de cet épisode de maladie.,,
readm_prevsite,Nom de l'établissement de transfert,,Il s’agit du nom de l’établissement à partir duquel le patient a été précédemment admis ou transféré.,Saisissez le nom de l’établissement à partir duquel le patient a été précédemment admis ou transféré.,,
readm_numprev,Nombre total d'admissions antérieures pour cette infection,,Il s’agit du nombre de fois (pour cette infection) que le patient a été admis dans un établissement de santé.,Indiquez le nombre de fois (pour cette infection) que le patient a été admis dans un établissement de santé.,,
readm_firstadmdt,Date de la première admission pour cette infection,,"Il s'agit de la date de la première admission pour cette maladie. Si le patient a d'abord été « admis dans un autre établissement, puis transféré dans cet établissement », enregistrez la date à laquelle le patient a été admis dans l'autre établissement de santé.",Écrivez la date au format JJ/MM/AAAA.,,
readm_difpin,Les données du patient ont-elles été précédemment collectées sous un numéro d’identification de participant (PIN) différent ?,"1, Oui | 0, Non | 99, Inconnu",,Indiquez « Oui » si les données du patient ont déjà été collectées sous un autre numéro d'identification de participant (PIN),,
readm_prevpin,Numéro d'identification du participant précédent (PIN),,Le numéro d'identification du participant ou PIN est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d’identification du participant (PIN).,,
readm_reas,Le patient est-il réadmis avec ou en raison d’une infection par un agent pathogène d’intérêt ?,"1, Oui | 0, Non | 99, Inconnu",Il s’agit de la réadmission du patient avec ou en raison d’une infection par le pathogène d’intérêt.,Indiquez « Oui » si le patient est réadmis avec ou en raison d’une infection par un agent pathogène d’intérêt.,,
demog_sex,Le sexe à la naissance,"1, Homme | 2, Femme | 88, Autre | 99, Non spécifié/Inconnu",Cela fait référence aux caractéristiques sexuelles physiques à la naissance.,Sélectionnez l’option la plus appropriée qui représente les caractéristiques sexuelles physiques à la naissance.,,
demog_sex_oth,Si autre : préciser le sexe à la naissance,,Cela fait référence aux caractéristiques sexuelles physiques à la naissance.,"Si « Autre », précisez les caractéristiques sexuelles physiques à la naissance.",,
demog_birthdate,Date de naissance,,Il s’agit de la date du calendrier à laquelle le patient est né.,Enregistrez la date de naissance des participants au format JJ/MM/AAAA.,,
demog_gender,Genre,"1, Homme | 2, Femme | 3, Transgenre | 4, Non binaire | 88, Autre | 99, Inconnu","Cela fait référence au sentiment intérieur d'une personne quant à son genre, qui peut ou non correspondre au sexe génotypique ou phénotypique de l'individu.",Sélectionnez l’option la plus appropriée qui représente l’identité de genre du patient.,,
demog_gender_oth,Si autre : préciser le sexe,,"Cela fait référence au sentiment intérieur d'une personne quant à son genre, qui peut ou non correspondre au sexe génotypique ou phénotypique de l'individu.","Si « Autre », précisez l’identité de genre du patient.",,
demog_age,Âge,,Cela fait référence à l’âge du patient.,"Pour les participants âgés de plus de deux ans, veuillez indiquer l'âge en années. Pour les enfants de moins d'un an, veuillez indiquer l'âge en mois. Pour les nouveau-nés de moins d'un mois, veuillez indiquer l'âge en jours.",,
demog_age_units,Unités d'âge,"1, Années | 2, Mois | 3, Jours",Il s’agit de l’âge du patient lors de sa présentation à l’établissement de santé.,Sélectionnez les unités les plus adaptées à l’âge.,,
demog_country,Pays,,,Indiquer le pays d'inscription,,
demog_height,Hauteur (sélectionnez les unités),,Taille réelle ou estimation la plus proche de la taille au moment de l'admission.,,,
demog_height_cm,Hauteur (cm),,"Il s'agit de la distance entre la plante des pieds et le sommet de la tête, le corps étant debout sur une surface plane et complètement étendu, mesurée en centimètres. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesurée en décubitus dorsal).","Indiquez la taille du patient en centimètres (cm). Pour les enfants de moins de 2 ans, veuillez utiliser la longueur.",,
demog_height_in,Hauteur (po),,"Il s'agit de la distance entre la plante des pieds et le sommet de la tête, le corps étant debout sur une surface plane et complètement étendu, mesurée en pouces. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesurée en position allongée sur le dos).","Indiquez la taille du patient en pouces (po). Pour les enfants de moins de 2 ans, veuillez utiliser la longueur.",,
demog_weight,Poids (sélectionner les unités),,Poids réel ou estimation la plus proche du poids au moment de l’admission.,,,
demog_weight_kg,Poids (kg),,"Il s'agit du poids d'un sujet, exprimé en kilogrammes (kg).",Indiquez le poids du patient en kilogrammes (kg).,,
demog_weight_lb,Poids (lb),,"Il s'agit du poids d'un sujet, exprimé en livres (lb).",Indiquez le poids du patient en livres (lb).,,
demog_race,Race (sélectionnez toutes les réponses qui s'appliquent),"1, Arabe | 2, Noir | 3, Asiatique de l'Est | 4, Asiatique du Sud | 5, Asiatique du Sud-Est | 6, Asiatique de l'Ouest | 7, Latino-américain | 8, Blanc | 9, Autochtone/Premières Nations/Indigène | 88, Autre | 99, Inconnu",Il s’agit d’une catégorie d’origine géographique ancestrale attribuée à un groupe de population en fonction principalement de caractéristiques physiques considérées comme distinctes et inhérentes.,Sélectionnez tout ce qui s'applique.,,
demog_race_other,Si autre : préciser la race,,Il s’agit d’une catégorie d’origine géographique ancestrale attribuée à un groupe de population en fonction principalement de caractéristiques physiques considérées comme distinctes et inhérentes.,"Si « Autre », précisez la race.",,
demog_healthcare,Employé comme travailleur de la santé,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’un patient employé dans le secteur de la santé.,Sélectionnez l'option la plus appropriée.,,
demog_healthcare_ptfacing,Face au patient,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’un patient employé dans le secteur de la santé et qui dispense des soins dans des environnements en contact direct avec les patients (c’est-à-dire des rôles qui impliquent une interaction directe avec les patients).,Sélectionnez l'option la plus appropriée.,,
demog_healthcare_expbiosample,Exposé à des échantillons biologiques,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'un patient employé dans le secteur de la santé et qui dispense des soins dans des environnements non en contact direct avec les patients, mais qui est exposé à des échantillons biologiques (par exemple, le personnel de laboratoire, les manutentionnaires de déchets médicaux).",Sélectionnez l'option la plus appropriée.,,
demog_riskoccupa,Profession du patient,,Cela fait référence à l’activité principale qu’une personne exerce pour gagner sa vie.,Sélectionnez tout ce qui s'applique.,,
demog_occupation,Lieu principal d'occupation,"1, Travail à domicile ou au chômage | 2, À l'intérieur - bureau/santé/éducation/hôtellerie/entreprise/domicile | 3, À l'intérieur - usine | 8, À l'extérieur - contact avec les animaux (vétérinaire, éleveur, ouvrier d'abattoir) | 4, À l'extérieur - agriculture/sylviculture/pêche | 5, À l'extérieur - construction/industrie/exploitation minière | 6, Forces armées | 7, Étudiant | 88, Autre | 99, Inconnu",Il s’agit du lieu où le patient effectue la majorité des tâches liées à sa profession actuelle.,Sélectionnez l’option la plus appropriée qui représente le lieu principal d’occupation.,,
demog_occupation_oth,Si autre : préciser le lieu principal d'occupation,,Il s’agit du lieu où le patient effectue la majorité des tâches liées à sa profession actuelle.,"Si « Autre », précisez le lieu principal d’occupation.",,
demog_residence,Ville de résidence du patient,"1, Identique à l'établissement de soins de santé | 2, Différent de l'établissement de soins de santé | 99, Inconnu",Il s'agit de la ville dans laquelle une personne habite de manière plus ou moins temporaire ou permanente.,"Si la ville de résidence du patient est différente de la ville dans laquelle se trouve cet établissement de santé, précisez ci-dessous la région de résidence du patient.",,
demog_residence_oth,"Si différent de l'établissement de santé, préciser la région de résidence du patient.",,Il s'agit de la ville dans laquelle une personne habite de manière plus ou moins temporaire ou permanente.,"Si « Différent de l’établissement de santé », précisez la région de résidence du patient.",,
travel_travel14d,Le patient a-t-il voyagé en dehors de sa région d’origine au cours des 14 derniers jours ?,"1, Oui | 0, Non | 99, Inconnu","Il s’agit d’un voyage vers une autre ville/région, une autre partie du pays ou à l’étranger dans un autre pays dans les 14 jours précédant l’apparition des symptômes liés à la maladie actuelle.","Indiquez « Oui » si le patient a voyagé dans une autre ville ou région, dans une autre partie du pays ou à l’étranger dans un autre pays dans les 14 jours précédant l’apparition des symptômes liés à la maladie actuelle.",,
travel_loc,Si oui : précisez toutes les villes et régions de voyage,,Cela fait référence à toutes les villes ou villages et régions dans lesquels le patient s'est rendu dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.,"Si le patient a voyagé hors de son lieu de résidence habituel dans les 14 jours suivant l’apparition des symptômes, indiquez le(s) lieu(x) visité(s).",,
expo14_yn,Antécédents de contact avec un cas humain suspecté ou confirmé du même pathogène ?,"1, Oui | 0, Non | 99, Inconnu","Cela fait référence au patient ayant des antécédents de contact avec une personne présentant des symptômes similaires ou un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspect ou confirmé (par exemple, des liquides corporels, des objets, de la literie, etc.).","Indiquez « Oui » si le patient a des antécédents de contact avec une personne présentant des symptômes similaires ou un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspect ou confirmé (par exemple, des liquides corporels, des objets, de la literie, etc.).",,
expo14_typecomm,Contact communautaire,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. Le contact communautaire fait référence à un événement d'exposition en dehors du cadre des soins de santé.,Indiquez « Oui » si le patient a subi ce mode d’exposition à un cas humain suspecté ou confirmé.,,
expo14_typevert,Transmission verticale,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. La transmission verticale fait référence à la transmission de la mère à l'enfant.,Indiquez « Oui » si le patient a subi ce mode d’exposition à un cas humain suspecté ou confirmé.,,
expo14_typehcw,Exposition des professionnels de la santé,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. L'exposition des professionnels de la santé fait référence à un événement d'exposition dans un contexte de soins de santé.,Indiquez « Oui » si le patient a subi ce mode d’exposition à un cas humain suspecté ou confirmé.,,
expo14_typesext,Transmission sexuelle,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. La transmission sexuelle fait référence à une infection propagée par contact sexuel.,Indiquez « Oui » si le patient a subi ce mode d’exposition à un cas humain suspecté ou confirmé.,,
expo14_typefaml,Contacts familiaux/domestiques,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. Le contact familial/domestique fait référence à la transmission de l'infection par des personnes qui prévoient de partager un logement la plupart du temps (et pour lesquelles un contact étroit continu est inévitable),Indiquez « Oui » si le patient a subi ce mode d’exposition à un cas humain suspecté ou confirmé.,,
expo14_typeoth,Autre type d’exposition humaine,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’autres modes d’exposition à un cas suspect ou confirmé non spécifiés ci-dessus.,Indiquez « Oui » si le patient a subi ce mode d’exposition à un cas humain suspecté ou confirmé.,,
expo14_typeoth_other,Si autre : préciser le type d'exposition humaine,,Il s’agit d’autres modes d’exposition à un cas suspect ou confirmé non spécifiés ci-dessus.,"Si « Autre », précisez le mode d’exposition à un cas suspect ou confirmé.",,
expo14_date,Date de contact avec un cas suspect ou confirmé,,"Il s'agit de la date de contact avec une personne présentant des symptômes similaires ou un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspect ou confirmé (par exemple, des liquides corporels, des objets, de la literie, etc.).",Écrivez la date du contact avec un cas humain suspect ou confirmé au format JJ/MM/AAAA.,,
expo14_setting,Réglage des contacts,"1, Ménage | 2, Professionnel | 4, Établissement de santé | 88, Autre | 99, Inconnu",Il s’agit de l’environnement dans lequel la personne a pu entrer en contact avec un cas suspect ou confirmé.,Sélectionnez l’option la plus appropriée qui représente le paramètre de contact avec un cas humain confirmé ou suspecté.,,
expo14_setting_oth,Si autre : préciser le paramètre de contact,,Il s’agit de l’environnement dans lequel la personne a pu entrer en contact avec un cas suspect ou confirmé.,"Si « Autre », spécifiez le paramètre de contact avec un cas confirmé ou suspect.",,
expo14_animalcon,"Avez-vous été en contact avec des animaux, des animaleries, de la viande ou d’autres produits d’origine animale au cours des 14 derniers jours ?","1, Oui | 0, Non | 99, Inconnu","Il s'agit de tout contact avec des animaux, des animaleries, de la viande ou d'autres produits d'origine animale survenu au cours des 14 derniers jours.","Indiquez « Oui » si le patient a été en contact avec des animaux, des animaleries, de la viande ou d’autres produits d’origine animale au cours des 14 derniers jours.",,
expo14_animalcon_date,Date de contact avec une source animale suspectée ou confirmée,,"Il s'agit de la date de contact avec des animaux, des animaleries, de la viande ou d'autres produits d'origine animale survenus au cours des 14 derniers jours.","Écrivez la date du contact avec des animaux, des animaleries, des viandes ou d'autres produits d'origine animale survenu au cours des 14 derniers jours, au format JJ/MM/AAAA.",,
expo14_animalcon_livestock,Contact avec le bétail,,,,,
expo14_animalcon_livestockyn,Contact avec le bétail,"1, Oui | 0, Non | 99, Inconnu","Il s’agit d’un contact avec des oiseaux vivants (par exemple des poulets, des dindes, des canards) survenu au cours des 14 derniers jours.",Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_livestockbird,"Si oui au contact avec le bétail : Contact avec la volaille (par exemple, poulets, dindes, canards)","1, Oui | 0, Non | 99, Inconnu","Il s’agit d’un contact avec des oiseaux vivants (par exemple des poulets, des dindes, des canards) survenu au cours des 14 derniers jours.",Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_livestockcow,Si oui au contact avec le bétail : Contact avec les vaches laitières et/ou le matériel de traite,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’un contact avec des vaches laitières et/ou du matériel de traite survenu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_livestockothercow,Si oui au contact avec le bétail : Contact avec des bovins autres que les vaches laitières,"1, Oui | 0, Non | 99, Inconnu",Il s’agit de tout contact avec des bovins autres que des vaches laitières survenu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_livestockpig,Si oui au contact avec le bétail : Contact avec les porcs,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’un contact avec des porcs survenu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_livestocktype,Si oui au contact avec le bétail : Précisez le type de contact,"1, Chasse | 2, Préparation | 3, Manipulation | 4, Consommation (non transformée / insuffisamment cuite / crue) | 5, Commerce | 6, Fèces ou nids d'animaux | 7, Animal malade ou mort | 88, Autre | 99, Inconnu","Cela fait référence au(x) type(s) de contact avec les animaux qui ont eu lieu au cours des 14 derniers jours. La chasse comprend la découverte ou la mise à mort d'animaux pour la nourriture ou le sport. La préparation comprend l'écorchage, l'habillage ou le découpage d'animaux pour la consommation. La manipulation comprend le fait de toucher, de caresser ou de partager l'espace de vie avec des animaux. La consommation comprend l'ingestion de parties d'animaux non transformées, insuffisamment cuites ou crues. Le commerce comprend le contact avec les animaux lors de la vente, de l'achat ou de l'échange d'animaux. Les excréments ou les nids d'animaux comprennent le contact avec les excréments, les nids ou les habitations d'animaux. Les animaux malades ou morts font référence au contact avec un animal malade ou mort, mais pas à la participation à une chirurgie animale ou à une névralgie (question séparée).",Sélectionnez tous les types de contact avec les animaux qui ont eu lieu au cours des 14 derniers jours.,,
expo14_animalcon_nhprim,Contact avec des primates non humains,,,,,
expo14_animalcon_nhprimyn,Contact avec des primates non humains,"1, Oui | 0, Non | 99, Inconnu","Il s'agit de contacts avec des primates non humains (un groupe de mammifères composé de singes simiens et de prosimiens, tels que les lémuriens) survenus au cours des 14 derniers jours.",Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_nhprimmonkeys,Si oui au contact avec des primates non humains : Contact avec des singes,"1, Oui | 0, Non | 99, Inconnu",Ceci fait référence aux contacts avec des singes survenus au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_nhprimapes,Si oui au contact avec des primates non humains : Contact avec des singes,"1, Oui | 0, Non | 99, Inconnu",Ceci fait référence aux contacts avec des singes qui ont eu lieu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_nhprimtype,Si oui au contact avec des primates non humains : précisez le type de contact,"1, Chasse | 2, Préparation | 3, Manipulation | 4, Consommation (non transformée / insuffisamment cuite / crue) | 5, Commerce | 6, Fèces ou nids d'animaux | 7, Animal malade ou mort | 88, Autre | 99, Inconnu","Cela fait référence au(x) type(s) de contact avec les animaux qui ont eu lieu au cours des 14 derniers jours. La chasse comprend la découverte ou la mise à mort d'animaux pour la nourriture ou le sport. La préparation comprend l'écorchage, l'habillage ou le découpage d'animaux pour la consommation. La manipulation comprend le fait de toucher, de caresser ou de partager l'espace de vie avec des animaux. La consommation comprend l'ingestion de parties d'animaux non transformées, insuffisamment cuites ou crues. Le commerce comprend le contact avec les animaux lors de la vente, de l'achat ou de l'échange d'animaux. Les excréments ou les nids d'animaux comprennent le contact avec les excréments, les nids ou les habitations d'animaux. Les animaux malades ou morts font référence au contact avec un animal malade ou mort, mais pas à la participation à une chirurgie animale ou à une névralgie (question séparée).",Sélectionnez tous les types de contact avec les animaux qui ont eu lieu au cours des 14 derniers jours.,,
expo14_animalcon_rodent,Contact avec les rongeurs,,,,,
expo14_animalcon_rodentyn,Contact avec les rongeurs,"1, Oui | 0, Non | 99, Inconnu","Il s’agit d’un contact avec des rongeurs (par exemple des rats, des souris, des écureuils) survenu au cours des 14 derniers jours.",Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_rodentrat,Si oui au contact avec les rongeurs : Contact avec les rats,"1, Oui | 0, Non | 99, Inconnu",Ceci fait référence au contact avec des rats survenu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_rodentmice,Si oui au contact avec les rongeurs : Contact avec les souris,"1, Oui | 0, Non | 99, Inconnu",Ceci fait référence au contact avec des souris survenu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_rodentsquirrel,Si oui au contact avec les rongeurs : Contact avec les écureuils,"1, Oui | 0, Non | 99, Inconnu",Ceci fait référence au contact avec des écureuils qui a eu lieu au cours des 14 derniers jours.,Indiquez « Oui » si le patient a vécu cela au cours des 14 derniers jours.,,
expo14_animalcon_rodenttype,Si oui au contact avec des rongeurs : Précisez le type de contact,"1, Chasse | 2, Préparation | 3, Manipulation | 4, Consommation (non transformée / insuffisamment cuite / crue) | 5, Commerce | 6, Fèces ou nids d'animaux | 7, Animal malade ou mort | 88, Autre | 99, Inconnu","Cela fait référence au(x) type(s) de contact avec les animaux qui ont eu lieu au cours des 14 derniers jours. La chasse comprend la découverte ou la mise à mort d'animaux pour la nourriture ou le sport. La préparation comprend l'écorchage, l'habillage ou le découpage d'animaux pour la consommation. La manipulation comprend le fait de toucher, de caresser ou de partager l'espace de vie avec des animaux. La consommation comprend l'ingestion de parties d'animaux non transformées, insuffisamment cuites ou crues. Le commerce comprend le contact avec les animaux lors de la vente, de l'achat ou de l'échange d'animaux. Les excréments ou les nids d'animaux comprennent le contact avec les excréments, les nids ou les habitations d'animaux. Les animaux malades ou morts font référence au contact avec un animal malade ou mort, mais pas à la participation à une chirurgie animale ou à une névralgie (question séparée).",Sélectionnez tous les types de contact avec les animaux qui ont eu lieu au cours des 14 derniers jours.,,
