Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,Value
Pruritus,L29,ICD10,418363000,SNOMED,,,,64
Rapid heart beat/Pulse (Tachycardia),R00.0,ICD10,3424008,SNOMED,,,,65
Rashes or skin lesions,R21,ICD10,271807003,SNOMED,,,,66
Retention of urine,R33.9,ICD10,267064002,SNOMED,,,,67
Shortness of breath (Dyspnea),R06.0,ICD10,267036007,SNOMED,,,1.0,68
Skin lesion,,,,SNOMED,1.0,,,69
Skin rash,R21,ICD10,271807003,SNOMED,,1.0,,70
Sleep disorder,F51.9,ICD10,39898005,SNOMED,,,,71
Sneezing,R06.7,ICD10,162367006,SNOMED,,,1.0,72
Sore throat (Pain in throat),R07.0,ICD10,267102003,SNOMED,,,1.0,73
Speech disturbances,R47.9,ICD10,29164008,SNOMED,,,,74
Spontaneous bruising (Spontaneous ecchymoses),R23.3,ICD10,161887000,SNOMED,,,,75
Sweating (hyperhidrosis),R61,ICD10,312230002,SNOMED,,,,76
Swollen lymph nodes (Enlarged lymph nodes),R59.9,ICD10,30746006,SNOMED,,,,77
Tinnitus,H93.1,ICD10,60862001,SNOMED,,,,78
Tremor,R25.1,ICD10,26079004,SNOMED,,,,79
Urinary incontinence,R32,ICD10,165232002,SNOMED,,,,80
Visual disturbances,H53,ICD10,63102001,SNOMED,,,,81
Wheezing,R06.2,ICD10,56018004,SNOMED,,,1.0,82
