Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
presentation,INCLUSION CRITERIA,inclu_cons,group,ISARIC CONSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_yn,radio,Patient agrees to participate in this research study,"1, Yes | 0, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_who,radio,Consent provided by,"1, Patient | 2, Parent/guardian | 3, Consultee",,,,,,[inclu_cons_yn]='1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_rsch,radio,Future use of data in ethically approved research,"1, Yes | 0, No",,,,,,[inclu_cons_yn]='1',,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_futgen,radio,Future use of genetic data,"1, Yes | 0, No",,,,,,[inclu_cons_yn]='1',,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_futsmpl,radio,Future use of samples,"1, Yes | 0, No",,,,,,[inclu_cons_yn]='1',,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_nstudy,radio,Contacted in the future for other studies,"1, Yes | 0, No",,,,,,[inclu_cons_yn]='1',,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_photo,radio,"I agree that digital photographs of relevant parts of my body may be taken as part of this study, and I can decline to have specific areas of my body photographed","1, Yes | 0, No",,,,,,[inclu_cons_yn]='1',,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_cons_usage,checkbox,I allow the optional consent to be used by,"1, Other researchers | 2, Commercial entities (excluding insurance companies)",,,,,,[inclu_cons_yn]='1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,EXCLUSION CRITERIA ,exclu_othdiag,radio,Does the patient have a clear alternative non-infectious diagnosis (either clinical or laboratory/imaging confirmed diagnosis) that explains the acute presentation,"1, Yes | 0, No",,,,,,,,"Indicate 'Yes', if there is a clear non-infectious diagnosis that explains this acute presentation. If 'Yes' then the patient fulfills this exclusion criterion, please do not continue with this case report form.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_consent,date_dmy,Date of consent,,date_dmy,,today,,[inclu_consent]='1',,,Write the date in which informed consent was given for the participants inclusion in this study. Use DD/MM/YYYY format.,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_enrolment,date_dmy,Date of enrolment / start of data collection,,date_dmy,,today,,,,,Enter date of patient study enrolment in the format of day/month/year (DD/MM/YYYY).,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_case,date_dmy,Date case was first reported,,date_dmy,,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_consult,date_dmy,Date of first clinical consultation,,date_dmy,,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_hosp,text,Which hospital/community has the participant been enrolled at?,,,,,,,,,Write the name of the health facility or community in which the patient was enrolled.,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_onsetdate,date_dmy,Onset date of first / earliest symptom,,date_dmy,,today,,,,Please provide the date of patient reported onset of the first symptom that you clinically believe was related to this episode of illness.,Provide the date of the first symptom that you clinically believe was related to this episode of illness in DD/MM/YYYY format.,,,,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,ONSET & ADMISSION,dates_firstsym,user_list,First symptom (select multiple if occurred at same time),,,,,conditions_Symptoms,,,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.","Select the most appropriate option or options (if multiple occurred at the same time). If 'Other systemic symptoms', Specify in the space below.",,,,,,,,1,,1,1,1,,1,,1,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_firstsymoth,text,Specify other symptom,,,,,,[dates_firstsym(88)]='1',,,"Specify the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,
presentation,ONSET & ADMISSION,dates_adm,radio,Admitted to hospital,"1, Yes | 0, No | 99, Unknown",,,,,,,,"Indicate 'Yes', if that patient was admitted to your site.",,,,1,,1,1,,,,,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,ONSET & ADMISSION,dates_adm_reas,text,Reason for hospitalisation,,,,,,[dates_adm] = '1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_admdate,date_dmy,Date of hospital admission,,date_dmy,,today,,[dates_adm] = '1',,,Enter the date of admission to your site (in DD/MM/YYYY format).,,,,1,1,1,1,1,,1,,,1,1,1,1,,,,,,,,,,,,,1,,
presentation,ONSET & ADMISSION,dates_admtime,text,Time of hospital admission,,time,,,,[dates_adm] = '1',,,Enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,,,,,,1,1,1,,,,,,1,,1,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_recadm,date_dmy,Date of most recent hospital admission,,date_dmy,,today,,[dates_adm]='1',,,Enter the date of most recent admission (in DD/MM/YYYY format).,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_mpoxhist,radio,History of contact with suspected or confirmed mpox case?,"1, Yes | 0, No | 99, Unknown",,,,,[inclu_disease]='4',,"This refers to the patient having a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. blody fluids, objects, bedding etc.).","Indicate 'Yes', if there is a history of contact with suspected or confirmed mpox case?",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,ONSET & ADMISSION,dates_contactid,text,ID of confirmed/suspected contact,,,,,,[dates_mpoxhist]='1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_mpoxknown,radio,Does participant know date of contact with suspected or confirmed case?,"1, Yes | 0, No | 99, Unknown",,,,,[dates_mpoxhist]='1',,,Indicate 'Yes' if the date of contact is known.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_mpoxdate,date_dmy,"If YES, date of contact:",,date_dmy,,today,,[dates_mpoxknown]='1',,,Write the date of contact with suspected or confirmed mpox case in format DD/MM/YYYY.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_mpoxexpo,checkbox,Type of exposure,"1, Community contact | 2, Vertical transmission | 3, Healthcare worker exposure | 88, Other | 4, Not known",,,,,[dates_mpoxhist]='1',,This refers to the mode of exposure to a suspected or confirmed case. Community contact refers to exposure event outside of healthcare setting. Vertical transmission refers to transmission from mother-to-child. Healthcare worker exposure refers to an exposure event in a healthcare setting.,Select all that apply.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,ONSET & ADMISSION,dates_mpoxexpo_oth,text,Specify other type of exposure,,,,,,[dates_mpoxexpo]='88',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,ONSET & ADMISSION,dates_setting,radio,Contact setting,"1, Household | 2, Workplace | 3, School/Nursery | 4, Healthcare | 5, Party | 6, Bar/restaurant/small event | 7, Large event | 8, Large event with sexual contact | 88, Other | 99, Unknown",,,,,,,,"""Party"" refers to sexual contact at a night club, private party, sauna etc. ""Large event"" refers to festivals, sports events etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_setting_oth,text,Specify other contact setting,,,,,,[dates_setting]='88',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevadm,radio,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevsite,text,Name of transfer facility,,,,,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,,Enter the name of the facility from which the patient was transferred.,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_numprev,number,Total number of previous admissions for this infection,,number,1,,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,This refers to the number of times (for this infection) the patient has been admitted to a health facility.,Write the number of previous hospital admissions.,,,,1,1,1,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadmdt,date_dmy,Date of earliest admission for this infection,,date_dmy,,today,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,"This refers to the date of the first admission for this illness. If the patient was first 'admitted to other facility, then transferred to this facility' record the date the patient was admitted to the other facility.",Write the date in DD/MM/YYYY format.,,,,1,,1,1,,,1,1,1,1,,1,,,,,,,,,,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,radio,Has the patient's data been previously collected under a different patient identification number? ,"1, Yes | 0, No | 99, Unknown",,,,,,,The patient identification number or PIN is a unique number used to identify the patient's data.,"Indicate 'Yes', if the patient has previously been assigned a different participant identification number.",,,,1,1,1,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,text,Previous participant identification number (PIN),,,,,,[readm_difpin] = '1',,,,,,,1,1,1,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_covid,radio,Is the patient being re-admitted with or due to COVID-19?,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_sex,radio,Sex at birth,"1, Male | 2, Female | 88, Other | 99, Not specified/Unknown",,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_sex_oth,text,Specify sex at birth,,,,,,[demog_sex]='88',,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,DEMOGRAPHICS,demog_birthdate,date_dmy,Date of birth,,date_dmy,,today,,,,,Record the participants date of birth in DD/MM/YYYY format.,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_gender,radio,Gender,"1, Man | 2, Woman | 3, Transgender | 4, Non-binary | 88, Other | 99, Unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,DEMOGRAPHICS,demog_gender_oth,text,Specify gender,,,,,,[demog_gender]='88',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,DEMOGRAPHICS,demog_age,text,Age,,number,,,,,,This refers to the age of the patient.,"Enter the numerical value for the patient's age, as a whole number. In the following question, Specify the units (years, months or days). For participants over the age of two years, please report age in years. For children under the age of one year, please report in months. For neonates, below the age of one month please report in days.",,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,1,,
presentation,DEMOGRAPHICS,demog_age_units,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,,,,Select the single most appropriate option to indicate units for patient's age. ,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,1,,
presentation,DEMOGRAPHICS,demog_height,,Height (select units),,,,,,,,Actual or closest estimate to height at time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_height_cm,number,Height (cm),,number,0,250,,,,Actual or closest estimate to height at time of admission.,"Inidcate the patients height in centimeters (cm). For children under the age of 2, please use length.",,,,1,1,1,1,,,1,1,1,,1,1,1,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_height_in,number,Height (in),,number,0,98,,,,Actual or closest estimate to height at time of admission.,"Indicate the patients height in inches (in). For children under the age of 2, please use length.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_weight,,Weight (select units),,,,,,,,Actual or closest estimate to weight at time of admission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_weight_kg,number,Weight (kg),,number,0,800,,,,Actual or closest estimate to weight at time of admission.,Indicate the patients weight in kilograms (kg).,,,,1,1,1,1,,,1,1,1,,1,1,1,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_weight_lb,number,Weight (lb),,number,0,1763,,,,Actual or closest estimate to weight at time of admission.,Indicate the patients weight in pounds (lb).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_country,dropdown,Country,"1, Afghanistan (AFG) | 2, Åland Islands (ALA) | 3, Albania (ALB) | 4, Algeria (DZA) | 5, American Samoa (ASM) | 6, Andorra (AND) | 7, Angola (AGO) | 8, Anguilla (AIA) | 9, Antigua and Barbuda (ATG) | 10, Argentina (ARG) | 11, Armenia (ARM) | 12, Aruba (ABW) | 13, Australia (AUS) | 14, Austria (AUT) | 15, Azerbaijan (AZE) | 16, Bahrain (BHR) | 17, Bangladesh (BGD) | 18, Barbados (BRB) | 19, Belarus (BLR) | 20, Belgium (BEL) | 21, Belize (BLZ) | 22, Benin (BEN) | 23, Bermuda (BMU) | 24, Bhutan (BTN) | 25, Bolivia (BOL) | 26, Bosnia and Herzegovina (BIH) | 27, Botswana (BWA) | 28, Bouvet Island (BVT) | 29, Brazil (BRA) | 30, British Indian Ocean Territory (IOT) | 31, Brunei Darussalam (BRN) | 32, Bulgaria (BGR) | 33, Burkina Faso (BFA) | 34, Burundi (BDI) | 35, Cabo Verde (CPV) | 36, Cambodia (KHM) | 37, Cameroon (CMR) | 38, Canada (CAN) | 39, Cayman Islands (CYM) | 40, Central African Republic (CAF) | 41, Chad (TCD) | 42, Chile (CHL) | 43, China (CHN) | 44, Christmas Island (CXR) | 45, Cocos (Keeling) Islands (CCK) | 46, Colombia (COL) | 47, Comoros (COM) | 48, Congo (COG) | 49, Cook Islands (COK) | 50, Costa Rica (CRI) | 51, Côte d'Ivoire (CIV) | 52, Croatia (HRV) | 53, Cuba (CUB) | 54, Curaçao (CUW) | 55, Cyprus (CYP) | 56, Czechia (CZE) | 57, Democratic Republic of the Congo (COD) | 58, Denmark (DNK) | 59, Djibouti (DJI) | 60, Dominica (DMA) | 61, Dominican Republic (DOM) | 62, Ecuador (ECU) | 63, Egypt (EGY) | 64, El Salvador (SLV) | 65, Equatorial Guinea (GNQ) | 66, Eritrea (ERI) | 67, Estonia (EST) | 68, Eswatini (SWZ) | 69, Ethiopia (ETH) | 70, Falkland Islands (FLK) | 71, Faroe Islands (FRO) | 72, Fiji (FJI) | 73, Finland (FIN) | 74, France (FRA) | 75, French Guiana (GUF) | 76, French Polynesia (PYF) | 77, French Southern Territories (ATF) | 78, Gabon (GAB) | 79, Gambia (GMB) | 80, Georgia (GEO) | 81, Germany (DEU) | 82, Ghana (GHA) | 83, Gibraltar (GIB) | 84, Greece (GRC) | 85, Greenland (GRL) | 86, Grenada (GRD) | 87, Guadeloupe (GLP) | 89, Guam (GUM) | 90, Guatemala (GTM) | 91, Guernsey (GGY) | 92, Guinea (GIN) | 93, Guinea-Bissau (GNB) | 94, Guyana (GUY) | 95, Haiti (HTI) | 96, Heard Island and McDonald Islands (HMD) | 97, Honduras (HND) | 98, Hong Kong (HKG) | 100, Hungary (HUN) | 101, Iceland (ISL) | 102, India (IND) | 103, Indonesia (IDN) | 104, Iran (IRN) | 105, Iraq (IRQ) | 106, Ireland (IRL) | 107, Isle of Man (IMN) | 108, Israel (ISR) | 109, Italy (ITA) | 110, Jamaica (JAM) | 111, Japan (JPN) | 112, Jersey (JEY) | 113, Jordan (JOR) | 114, Kazakhstan (KAZ) | 115, Kenya (KEN) | 116, Kiribati (KIR) | 117, Kosovo (KOS) | 118, Kuwait (KWT) | 119, Kyrgyzstan (KGZ) | 120, Laos (LAO) | 121, Latvia (LVA) | 122, Lebanon (LBN) | 123, Lesotho (LSO) | 124, Liberia (LBR) | 125, Libya (LBY) | 126, Liechtenstein (LIE) | 127, Lithuania (LTU) | 128, Luxembourg (LUX) | 129, Macao (MAC) | 130, Macedonia (MKD) | 131, Madagascar (MDG) | 132, Malawi (MWI) | 133, Malaysia (MYS) | 134, Maldives (MDV) | 135, Mali (MLI) | 136, Malta (MLT) | 137, Marshall Islands (MHL) | 138, Martinique (MTQ) | 139, Mauritania (MRT) | 140, Mauritius (MUS) | 141, Mayotte (MYT) | 142, Mexico (MEX) | 143, Micronesia (FSM) | 144, Moldova (MDA) | 145, Monaco (MCO) | 146, Mongolia (MNG) | 147, Montenegro (MNE) | 148, Montserrat (MSR) | 149, Morocco (MAR) | 150, Mozambique (MOZ) | 151, Myanmar (MMR) | 152, Namibia (NAM) | 153, Nauru (NRU) | 154, Nepal (NPL) | 155, Netherlands (NLD) | 156, New Caledonia (NCL) | 157, New Zealand (NZL) | 158, Nicaragua (NIC) | 159, Niger (NER) | 160, Nigeria (NGA) | 161, Niue (NIU) | 162, Norfolk Island (NFK) | 163, North Korea (PRK) | 164, Northern Mariana Islands (MNP) | 165, Norway (NOR) | 166, Oman (OMN) | 167, Pakistan (PAK) | 168, Palau (PLW) | 169, Palestine (PSE) | 170, Panama (PAN) | 171, Papua New Guinea (PNG) | 172, Paraguay (PRY) | 173, Peru (PER) | 174, Philippines (the) (PHL) | 175, Pitcairn (PCN) | 176, Poland (POL) | 177, Portugal (PRT) | 178, Puerto Rico (PRI) | 179, Qatar (QAT) | 180, Réunion (REU) | 181, Romania (ROU) | 182, Russia (RUS) | 183, Rwanda (RWA) | 184, Saint Barthélemy (BLM) | 185, Saint Helena, Ascension and Tristan da Cunha (SHN) | 186, Saint Kitts and Nevis (KNA) | 187, Saint Lucia (LCA) | 188, Saint Martin (French) (MAF) | 189, Saint Pierre and Miquelon (SPM) | 190, Saint Vincent and the Grenadines (VCT) | 191, Samoa (WSM) | 192, San Marino (SMR) | 193, Sao Tome and Principe (STP) | 194, Saudi Arabia (SAU) | 195, Senegal (SEN) | 196, Serbia (SRB) | 197, Seychelles (SYC) | 198, Sierra Leone (SLE) | 199, Singapore (SGP) | 200, Sint Maarten (Dutch) (SXM) | 201, Slovakia (SVK) | 202, Slovenia (SVN) | 203, Solomon Islands (SLB) | 204, Somalia (SOM) | 205, South Africa (ZAF) | 206, South Georgia and the South Sandwich Islands (SGS) | 207, South Korea (KOR) | 208, South Sudan (SSD) | 209, Spain (ESP) | 210, Sri Lanka (LKA) | 211, Sudan (SDN) | 212, Suriname (SUR) | 213, Svalbard and Jan Mayen (SJM) | 214, Sweden (SWE) | 215, Switzerland (CHE) | 216, Syrian Arab Republic (SYR) | 217, Taiwan (TWN) | 218, Tajikistan (TJK) | 219, Tanzania (TZA) | 220, Thailand (THA) | 221, The Bahamas (BHS) | 222, Timor-Leste (TLS) | 223, Togo (TGO) | 224, Tokelau (TKL) | 225, Tonga (TON) | 226, Trinidad and Tobago (TTO) | 227, Tunisia (TUN) | 228, Turkey (TUR) | 229, Turkmenistan (TKM) | 230, Turks and Caicos Islands (TCA) | 231, Tuvalu (TUV) | 232, Uganda (UGA) | 233, Ukraine (UKR) | 234, United Arab Emirates (ARE) | 235, United Kingdom (GBR) | 236, United States Minor Outlying Islands (UMI) | 237, United States of America (USA) | 238, Uruguay (URY) | 239, Uzbekistan (UZB) | 240, Vanuatu (VUT) | 241, Vatican City (VAT) | 242, Venezuela (VEN) | 243, Viet Nam (VNM) | 244, Virgin Islands (UK) (VGB) | 245, Virgin Islands (US) (VIR) | 246, Wallis and Futuna (WLF) | 247, Western Sahara (ESH) | 248, Yemen (YEM) | 249, Zambia (ZMB) | 250, Zimbabwe (ZWE) | 88, Other | 99, Unknown",,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,
presentation,DEMOGRAPHICS,demog_country_oth,text,Specify other country,,,,,,[demog_country]='88',,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,DEMOGRAPHICS,demog_ni,radio,Patient from Northern Ireland,"1, Yes | 0, No | 99, Unknown",,,,,[demog_country]='235',,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_postcode,text,Post code,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_nhc,text,National health care number,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
