Microorganism,Code,Library,Type,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,33
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,34
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,,,,,35
Bocavirus (Genus),430902006.0,SNOMED,virus,,,,,,,,,36
Bordetella pertussis,5247005.0,SNOMED,bacteria,,,,,,,,,37
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,38
Bunyaviridae (Family),243615000.0,SNOMED,virus,,,,,,,,,39
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,40
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,41
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,42
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,43
Caliciviridae (Family),243627002.0,SNOMED,virus,,,,,,,,,44
Campylobacter,35408001.0,SNOMED,bacteria,,,,,,,,,45
Candida,3265006.0,SNOMED,fungi,,,,,,,,,46
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,47
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,48
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,49
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,50
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,,,,,51
Candida orthopsilosis,3690000000000.0,SNOMED,fungi,,,,,,,,,52
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,,,,,53
Candida tropicalis,47885008.0,SNOMED,fungi,,,,,,,,,54
Chlamydia,16241000.0,SNOMED,bacteria,,,,,,,,,55
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,56
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,,,,,,,,,57
Citrobacter,75972000.0,SNOMED,bacteria,,,,,,,,,58
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,59
Citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,,,,,60
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,61
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,62
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,63
Clostridium botulinum,13080008.0,SNOMED,bacteria,,,,,,,,,64
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,65
Clostridium difficile (toxin positive),736050006.0,SNOMED,bacteria,,,,,,,,,66
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,67
Coagulase negative Staphylococcus,116197008.0,SNOMED,bacteria,,,,,,,,,68
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,69
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,,,,,70
Coliform bacteria,77309002.0,SNOMED,bacteria,,,,,,,,,71
Coronaviridae (Family),243607003.0,SNOMED,virus,,,,,,,,,72
Corynebacterium,77086004.0,SNOMED,bacteria,,,,,,,,,73
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,74
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,75
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,,,,,76
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,,,,,,,,77
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,78
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,,,,,,,,,79
Crimean-Congo Hemorrhagic Fever virus (CCHF),79875007.0,SNOMED,virus,,1.0,,,,,,,80
Cryptococcus,17579001.0,SNOMED,bacteria,,,,,,,,,81
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,,,,,,,82
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,,,,,,,,,83
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,,,,,,,84
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,85
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,86
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,87
Curvularia lunata,33165007.0,SNOMED,fungi,,,,,,,,,89
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,90
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,,,,,91
Cytomegalovirus,407444007.0,SNOMED,virus,,,,,,,,,92
Delftia,416493002.0,SNOMED,bacteria,,,,,,,,,93
Delftia acidovorans,20432002.0,SNOMED,bacteria,,,,,,,,,94
Deltavirus,83617006.0,SNOMED,virus,,,,,,,,,95
Dengue virus,34348001.0,SNOMED,virus,,,,,,,,,96
Dermabacter,413976002.0,SNOMED,bacteria,,,,,,,,,97
Diphtheroid,54642001.0,SNOMED,bacteria,,,,,,,,,98
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,,,,,100
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,,,,,101
Ebola virus,424206003.0,SNOMED,virus,,1.0,,,,,,,102
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,,,,,103
Eggerthella,414075007.0,SNOMED,bacteria,,,,,,,,,104
Elizabethkingia,426244005.0,SNOMED,bacteria,,,,,,,,,105
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,,,,,106
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,,,,,107
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,,,,,,,108
Enteric bacteria,106544002.0,SNOMED,bacteria,,,,,,,,,109
Enterobacter,58683007.0,SNOMED,bacteria,,,,,,,,,110
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,,,,,,,,111
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,,,,,112
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,,,,,,,,,113
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,,,,,114
Enterobacter cloacae complex,414102007.0,SNOMED,bacteria,,,,,,,,,115
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,,,,,,,,116
Enterobacter kobei,114456008.0,SNOMED,bacteria,,,,,,,,,117
Enterobacteriaceae,106544002.0,SNOMED,bacteria,,,,,,,,,118
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,,,,,,,119
Enterococcus,2785000.0,SNOMED,bacteria,,,,,,,,,120
Enterococcus avium,87875008.0,SNOMED,bacteria,,,,,,,,,121
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,,,,,,,,122
Enterococcus faecium,90272000.0,SNOMED,bacteria,,,,,,,,,123
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,,,,,,,,124
Enterovirus (genus Enterovirus),243633006.0,SNOMED,virus,,,,,,,,,125
Epidermophyton,112403007.0,SNOMED,fungi,,,,,,,,,126
Escherichia,64735005.0,SNOMED,bacteria,,,,,,,,,127
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,,,,,128
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,,,,,,,129
Falciformispora senegalensis (formerly Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,,,,,,,130
Filoviridae (Family),407325004.0,SNOMED,virus,,,,,,,,,131
Flaviviridae (Family),243602009.0,SNOMED,virus,,,,,,,,,132
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,,,,,133
Fungi,414561005.0,SNOMED,fungi,,,,,,,,,134
Fusarium,35238009.0,SNOMED,fungi,,,,,,,,,135
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,,,,,,,,136
Genus Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,,,,,137
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,,,,,,,138
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,139
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,140
Gram-Negative Bacillus,87172008.0,SNOMED,bacteria,,,,,,,,,141
Gram-Positive Bacillus,83514008.0,SNOMED,bacteria,,,,,,,,,142
Gram-Positive Coccus,59206002.0,SNOMED,bacteria,,,,,,,,,143
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,,,,,144
Haemophilus,71268004.0,SNOMED,bacteria,,,,,,,,,145
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,,,,,146
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,,,,,147
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,,,,,148
Hafnia alvei,76694001.0,SNOMED,bacteria,,,,,,,,,149
Hantavirus,49445003.0,SNOMED,virus,,1.0,,,,,,,150
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,,,,,151
Hendra virus,115510008.0,SNOMED,virus,,,,,,,,,152
Hepadnaviridae,422951006.0,SNOMED,virus,,,,,,,,,153
Hepatitis A virus,32452004.0,SNOMED,virus,,,,,,,,,154
Hepatitis B virus,81665004.0,SNOMED,virus,,,,,,,1.0,,155
Hepatitis C virus,62944002.0,SNOMED,virus,,,,,,,1.0,,156
Hepatitis D,83617006.0,SNOMED,virus,,,,,,,,,157
Hepatitis E virus,78475006.0,SNOMED,virus,,,,,,,,,158
Herpesviridae,128377001.0,SNOMED,virus,,,,,,,,,159
Histoplasma,81951003.0,SNOMED,fungi,,,,,,,,,160
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,,,,,161
"Human Herpesvirus 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003.0,SNOMED,virus,,,,,,,,,162
"Human Herpesvirus 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002.0,SNOMED,virus,,,,,,,,,163
"Human Herpesvirus 3 (Varicella-zoster virus, VZV)",19551004.0,SNOMED,virus,,,,1.0,,,1.0,,164
"Human Herpesvirus 4 (Epstein-Barr virus, EBV)",40168006.0,SNOMED,virus,,,,,,,,,165
"Human Herpesvirus 5 (Cytomegalovirus humanbeta5, hCMV)",243579005.0,SNOMED,virus,,,,,,,,,166
Human Herpesvirus 6 (Roseola infantum virus),103528003.0,SNOMED,virus,,,,,,,,,167
Human Immunodeficiency Virus (HIV),19030005.0,SNOMED,virus,,,,,,,1.0,,168
Human Immunodeficiency virus type 1 (HIV-1),89293008.0,SNOMED,virus,,,,,,,,,169
Human Immunodeficiency virus type 2 (HIV-2),36115006.0,SNOMED,virus,,,,,,,,,170
Human Metapneumovirus (hMPV),416730002.0,SNOMED,virus,,,,,,,,,171
Human Parainfluenza virus,407498006.0,SNOMED,virus,,,,,,,,,172
Human Parainfluenza virus 1,407489008.0,SNOMED,virus,,,,,,,,,173
Human Parainfluenza virus 2,407491000.0,SNOMED,virus,,,,,,,,,174
Human Parainfluenza virus 3,407493002.0,SNOMED,virus,,,,,,,,,175
Human Parainfluenza virus 4,89117003.0,SNOMED,virus,,,,,,,,,176
Human Parvovirus b19,63603005.0,SNOMED,virus,,,,,,,,,177
Human Respiratory Syncytial virus (RSV),6415009.0,SNOMED,virus,,,,,,,,,178
Human bocavirus,446373002.0,SNOMED,virus,,,,,,,,,179
Human coronavirus,84101006.0,SNOMED,virus,,,,,,,,,180
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,,,,,181
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,,,,,,,182
Influenza A subtype H5N8,708527000.0,SNOMED,virus,1.0,,,,1.0,,,,183
Influenza A suptype H7N7,715346008.0,SNOMED,virus,1.0,,,,1.0,,,,184
Influenza A virus,407479009.0,SNOMED,virus,1.0,,,,1.0,,,,185
Influenza A virus subtype H1N1,442352004.0,SNOMED,virus,1.0,,,,1.0,,,,186
Influenza A virus subtype H5N1,772827006.0,SNOMED,virus,1.0,,,,1.0,,,,187
Influenza A virus subtype H7N9,609444009.0,SNOMED,virus,1.0,,,,1.0,,,,188
Influenza B virus,407480007.0,SNOMED,virus,1.0,,,,1.0,,,,189
Influenza virus,725894000.0,SNOMED,virus,1.0,,,,1.0,,1.0,,190
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,,,,,,,191
Japanese encephalitis virus (JEV),243603004.0,SNOMED,virus,,,,,,,,,192
Junin virus ,26352009.0,SNOMED,virus,,,,,,,,,193
Klebsiella,75032006.0,SNOMED,bacteria,,,,,,,,,194
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,,,,,,,,195
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,,,,,196
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,,,,,197
"Klebsiella pneumoniae, ESBL",409801009.0,SNOMED,bacteria,,,,,,,,,198
Klebsiella variicola,431976004.0,SNOMED,bacteria,,,,,,,,,199
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,,,,,200
Lassa virus,85944001.0,SNOMED,virus,,1.0,,,,,,,201
Legionella,7527002.0,SNOMED,bacteria,,,,,,,,,202
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,,,,,203
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,,,,,,,204
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,,,,,205
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",,,,,,,,,206
Leishmania braziliensis complex,7400004.0,SNOMED,"parasite, protozoa",,,,,,,,,207
Leishmania donovani complex,79781008.0,SNOMED,"parasite, protozoa",,,,,,,,,208
Leptospira interrogans,116401006.0,SNOMED,bacteria,,,,,,,,,209
Lichthiemia,734206002.0,SNOMED,fungi,,,,,,,,,210
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,,,,,,,,211
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,,,,,,,212
Lujo virus,450622000.0,SNOMED,virus,,,,,,,,,213
Lymphocytic choriomeningitis virus (LCMV),82518003.0,SNOMED,virus,,,,,,,,,214
MERS-CoV ,697932005.0,SNOMED,virus,,,,,,,,,215
Machupo virus,71489006.0,SNOMED,virus,,1.0,,,,,,,216
Madurella,23009007.0,SNOMED,fungi,,,,,,,,,217
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,,,,,218
Measles morbillivirus,52584002.0,SNOMED,virus,,,,1.0,,,,,219
Metapneumovirus,407501006.0,SNOMED,virus,,,,,,,,,220
Methicillin resistant Staphylococcus aureus (MRSA),115329001.0,SNOMED,bacteria,,,,,,,,,221
Methicillin susceptible Staphylococcus aureus (MSSA),417943000.0,SNOMED,bacteria,,,,,,,,,222
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,,,,,223
Micrococcus,52864008.0,SNOMED,bacteria,,,,,,,,,224
Micrococcus luteus,48299003.0,SNOMED,bacteria,,,,,,,,,225
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",,,,,,,,,226
Microsporum,11983001.0,SNOMED,fungi,,,,,,,,,227
Middle East Respiratory Syndrome Coronavirus,697932005.0,SNOMED,virus,,,,,,,,,228
Mirabilis,79589007.0,SNOMED,bacteria,,,,,,,,,229
Moraxella,36361003.0,SNOMED,bacteria,,,,,,,,,230
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,,,,,231
Morganella,50713005.0,SNOMED,bacteria,,,,,,,,,232
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,,,,,233
Mpox virus,59774002.0,SNOMED,virus,1.0,,,1.0,,,1.0,,234
Mucor,49782006.0,SNOMED,fungi,,,,,,,,,235
Mumps virus,50384007.0,SNOMED,virus,,,,,,,,,236
Mycobacterium,243368001.0,SNOMED,bacteria,,,,,,,,,237
Mycobacterium leprae,58242002.0,SNOMED,bacteria,,,,,,,,,238
Mycobacterium tuberculosis,113861009.0,SNOMED,bacteria,,,,,,,,,239
"Mycobacterium, non-tuberculosis",110379001.0,SNOMED,bacteria,,,,,,,,,240
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,,,,,241
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,,,,,,,,242
Necator americanus,43905006.0,SNOMED,"parasite, helminth",,,,,,,,,243
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,,,,,,,,244
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,,,,,245
Nipah virus,115511007.0,SNOMED,virus,,,,,,,,,246
Nocardia asteroides,30092002.0,SNOMED,bacteria,,,,,,,,,247
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,,,,,248
Norovirus,407359000.0,SNOMED,virus,,,,,,,,,249
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,,,,,,,250
Orthomyxoviridae (influenza viruses),55014007.0,SNOMED,virus,,,,,,,,,251
Papillomavirus,243584004.0,SNOMED,virus,,,,,,,,,252
Papoviridae,243587006.0,SNOMED,virus,,,,,,,,,253
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,,,,,254
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,,,,,,,255
Paramyxoviridae,128354001.0,SNOMED,virus,,,,,,,,,256
Parvoviridae,243587006.0,SNOMED,virus,,,,,,,,,257
Penicillium,42993004.0,SNOMED,fungi,,,,,,,,,258
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,,,,,259
Picornaviridae,407344006.0,SNOMED,virus,,,,,,,,,260
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,,,,,,,,261
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,,,1.0,,262
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,,,,,,,263
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,,,,,,,264
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,,,1.0,,265
Pneumocystis,115987006.0,SNOMED,fungi,,,,,,,,,266
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,,,,,267
Prion diseases,20484008.0,SNOMED,Prions,,,,,,,,,268
Propionibacterium,34844008.0,SNOMED,bacteria,,,,,,,,,269
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,,,,,,,,270
Proteus,50517009.0,SNOMED,bacteria,,,,,,,,,271
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,,,,,272
Proteus vulgaris,45834001.0,SNOMED,bacteria,,,,,,,,,273
Providencia rettgeri,14196002.0,SNOMED,bacteria,,,,,,,,,274
Providencia stuartii,1445008.0,SNOMED,bacteria,,,,,,,,,275
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,,,,,276
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,,,,,277
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,,,,,,,,278
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,,,,,279
Rabies virus,59881000.0,SNOMED,virus,,,,,,,,,280
Raoultella,417468005.0,SNOMED,bacteria,,,,,,,,,281
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,,,,,282
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,,,,,283
Respiratory Syncytial Virus (RSV),6415009.0,SNOMED,virus,,,,,,,1.0,,284
Retroviridae,77622001.0,SNOMED,virus,,,,,,,,,285
Rhabdoviridae,407326003.0,SNOMED,virus,,,,,,,,,286
Rhizomucor,85711000.0,SNOMED,fungi,,,,,,,,,287
Rhizopus,17683005.0,SNOMED,fungi,,,,,,,,,288
Rift Valley fever virus,28335002.0,SNOMED,virus,,1.0,,,,,,,289
Ross River virus,32458000.0,SNOMED,virus,,,,,,,,,290
Rotavirus,417542000.0,SNOMED,virus,,,,,,,,,291
Rubella virus,5210005.0,SNOMED,virus,,,,,,,,,292
SARS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,1.0,,1.0,,293
SARS-CoV-2  Beta - B.1.351,840533008.0,SNOMED,virus,,,,,,,,,294
SARS-CoV-2  Delta - B.1.617.2,840533009.0,SNOMED,virus,,,,,,,,,295
SARS-CoV-2  Eta - B.1.525,840533010.0,SNOMED,virus,,,,,,,,,296
SARS-CoV-2  Gamma - P.1,840533011.0,SNOMED,virus,,,,,,,,,297
SARS-CoV-2  Iota - B.1.526,840533012.0,SNOMED,virus,,,,,,,,,298
SARS-CoV-2  Kappa - B.1.617.1,840533013.0,SNOMED,virus,,,,,,,,,299
SARS-CoV-2  Omicron ,840533014.0,SNOMED,virus,,,,,,,,,300
SARS-CoV-2  Omicron - B.1.1.529,840533015.0,SNOMED,virus,,,,,,,,,301
SARS-CoV-2  Omicron - B.1.1.529.2 BA.2,840533016.0,SNOMED,virus,,,,,,,,,302
SARS-CoV-2  Omicron - B.1.1.529.5 BA.5,840533017.0,SNOMED,virus,,,,,,,,,303
SARS-CoV-2  Theta- P.3,840533018.0,SNOMED,virus,,,,,,,,,304
SARS-CoV-2  Zeta - P.2,840533019.0,SNOMED,virus,,,,,,,,,305
SARS-CoV-2 Alpha - B.1.1.7,840533020.0,SNOMED,virus,,,,,,,,,306
SARS-CoV-2 Antigen,840536004.0,SNOMED,virus (substance),,,,,,,,,307
SARS-CoV-2 IgG Antibody,63000000000000.0,SNOMED,virus (substance),,,,,,,,,308
SARS-CoV-2 IgG/IgM Antibody,840535000.0,SNOMED,virus (substance),,,,,,,,,309
SARS-CoV-2 IgM Antibody,50600000000000.0,SNOMED,virus (substance),,,,,,,,,310
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,,,,,,,311
Salmonella,27268008.0,SNOMED,bacteria,,,,,,,,,312
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,,,,,,,,313
Sapovirus,407362002.0,SNOMED,virus,,,,,,,,,314
Scedosporium,31901009.0,SNOMED,fungi,,,,,,,,,315
Schistosoma,53583001.0,SNOMED,"parasite, helminth",,,,,,,,,316
Schistosoma guineensis,,,"parasite, helminth",,,"No Code, new species of schistosoma",,,,,,317
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",,,,,,,,,318
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,,,,,,,319
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,,,,,,,320
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,,,,,,,321
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,,,,,,,322
Serratia,42025004.0,SNOMED,bacteria,,,,,,,,,323
Serratia liquefaciens,23787004.0,SNOMED,bacteria,,,,,,,,,324
Serratia marcescens,33522002.0,SNOMED,bacteria,,,,,,,,,325
Serratia ureilytica,450416004.0,SNOMED,bacteria,,,,,,,,,326
Severe Acute Respiratory Syndrome Coronavirus 2,1240000000000000.0,SNOMED,virus,,,,,,,,,327
Severe Acute Respiratory Syndrome-Related Coronavirus,415360003.0,SNOMED,virus,,,,,,,,,328
Severe fever with thrombocytopaenia syndrome (SFTS) ,722401001.0,SNOMED,virus,,,,,,,,,329
Shigella,77352002.0,SNOMED,bacteria,,,,,,,,,330
Shigella boydii,55462008.0,SNOMED,bacteria,,,,,,,,,331
Shigella dysenteriae,43612004.0,SNOMED,bacteria,,,,,,,,,332
Shigella flexneri,85729005.0,SNOMED,bacteria,,,,,,,,,333
Shigella sonnei,4298009.0,SNOMED,bacteria,,,,,,,,,334
Simplexvirus (Genus),314797000.0,SNOMED,virus,,,,,,,,,335
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,,,,,,,,336
Sporothrix schenckii,32662000.0,SNOMED,fungi,,,,,,,,,337
Staphylococcus,65119002.0,SNOMED,bacteria,,,,,,,,,338
Staphylococcus aureus,3092008.0,SNOMED,bacteria,,,,,,,,,339
Staphylococcus capitis,40347003.0,SNOMED,bacteria,,,,,,,,,340
Staphylococcus caprae,76969000.0,SNOMED,bacteria,,,,,,,,,341
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,,,,,,,,,342
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,,,,,,,,,343
Staphylococcus haemolyticus,83452006.0,SNOMED,bacteria,,,,,,,,,344
Staphylococcus hominis,44827007.0,SNOMED,bacteria,,,,,,,,,345
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,,,,,,,,,346
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,,,,,,,,,347
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,,,,,,,,,348
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,,,,,,,,,349
Staphylococcus simulans,52122005.0,SNOMED,bacteria,,,,,,,,,350
Staphylococcus warneri,63550006.0,SNOMED,bacteria,,,,,,,,,351
Stenotrophomonas,115656007.0,SNOMED,bacteria,,,,,,,,,352
Stenotrophomonas maltophilia,113697002.0,SNOMED,bacteria,,,,,,,,,353
Streptococcus,58800005.0,SNOMED,bacteria,,,,,,,,,354
